"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E02000180",6854,917,485,547,41,1083,3247,534,108,1311,271,78,960,13.3790487306682,7.07615990662387,7.98074117303764,0.598190837467172,15.800992121389,47.3737963233149,7.79107090749927,1.57572220601109,19.1275167785235,3.95389553545375,1.13802159323023,14.0064196089875
"E02000181",6632,434,297,349,44,443,4494,571,74,397,103,15,278,6.54402895054282,4.47828709288299,5.26236429433052,0.663449939686369,6.67973462002412,67.7623642943305,8.60977080820265,1.11580217129071,5.98612786489747,1.55307599517491,0.226176115802171,4.19179734620024
"E02000182",5477,651,321,365,44,398,2917,781,100,469,78,30,361,11.8860690158846,5.8608727405514,6.66423224392916,0.803359503377762,7.26675187146248,53.2590834398393,14.2596311849553,1.82581705313128,8.56308197918569,1.4241373014424,0.547745115939383,6.59119956180391
"E02000183",6660,758,406,517,47,578,3848,506,128,416,91,15,310,11.3813813813814,6.0960960960961,7.76276276276276,0.705705705705706,8.67867867867868,57.7777777777778,7.5975975975976,1.92192192192192,6.24624624624625,1.36636636636637,0.225225225225225,4.65465465465465
"E02000184",7352,1270,703,664,75,1089,2828,723,138,1341,255,80,1006,17.2742110990207,9.5620239390642,9.03155603917301,1.02013057671382,14.8122959738847,38.4657236126224,9.83405875952122,1.87704026115343,18.2399347116431,3.46844396082699,1.08813928182807,13.683351468988
"E02000185",6695,1243,595,626,74,535,2745,877,124,563,173,39,348,18.5660941000747,8.88722927557879,9.35026138909634,1.10530246452577,7.99103808812547,41.0007468259895,13.0993278566094,1.8521284540702,8.40926064227035,2.58401792382375,0.58252427184466,5.19790888722928
"E02000186",5891,745,384,449,54,673,3026,560,89,888,197,45,644,12.6464097776269,6.5184179256493,7.62179595993889,0.916652520794432,11.4242064165676,51.366491257851,9.50602614157189,1.51077915464268,15.073841453064,3.34408419623154,0.763877100662027,10.9319300628077
"E02000187",6386,1621,754,686,75,964,1604,682,173,1213,246,72,890,25.3836517381773,11.807077983088,10.7422486689634,1.17444409646101,15.0955214531788,25.1174444096461,10.6796116504854,2.70905104917006,18.9946758534294,3.85217663639211,1.12746633260257,13.9367366113373
"E02000188",6820,1363,662,596,65,1673,1815,646,131,1975,274,97,1602,19.9853372434018,9.70674486803519,8.73900293255132,0.953079178885631,24.5307917888563,26.6129032258064,9.47214076246334,1.9208211143695,28.9589442815249,4.01759530791789,1.42228739002933,23.4897360703812
"E02000189",4801,740,370,420,27,901,1846,497,101,1451,302,65,1084,15.4134555300979,7.70672776504895,8.74817746302854,0.562382836908977,18.7669235575922,38.4503228494064,10.3520099979171,2.10372838991877,30.2228702353676,6.29035617579671,1.35388460737346,22.5786294521975
"E02000190",6707,794,421,533,40,1590,2690,639,76,2530,355,134,2040,11.8383778142239,6.27702400477113,7.94692112718056,0.596391829431937,23.7065752199195,40.1073505292977,9.52735947517519,1.13314447592068,37.72178321157,5.29297748620844,1.99791262859699,30.4159833010288
"E02000191",7019,408,268,348,31,2155,3077,732,38,3176,364,191,2619,5.8127938452771,3.81820772189771,4.95797122097165,0.441658355891153,30.7023792563043,43.8381535831315,10.4288360165266,0.541387662060123,45.2486109132355,5.18592392078644,2.72118535403904,37.3130075509332
"E02000192",5986,959,540,471,82,671,2686,577,106,726,116,41,567,16.0207150016706,9.02104911460074,7.86835950551286,1.36986301369863,11.2094888072168,44.8713665218844,9.63915803541597,1.77079852990311,12.1282993651854,1.93785499498831,0.684931506849315,9.47210157033077
"E02000193",7075,588,365,522,35,1135,3667,763,66,1485,243,58,1182,8.31095406360424,5.15901060070671,7.37809187279152,0.49469964664311,16.0424028268551,51.8303886925795,10.7844522968198,0.932862190812721,20.9893992932862,3.43462897526502,0.819787985865724,16.7067137809187
