"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01000853",1348,268,102,667,37,50,129,95,19.8813056379822,7.56676557863502,49.4807121661721,2.74480712166172,3.70919881305638,9.56973293768546,7.04747774480712
"E01000854",1426,286,88,853,55,40,62,42,20.0561009817672,6.1711079943899,59.8176718092567,3.85694249649369,2.80504908835905,4.34782608695652,2.945301542777
"E01000855",1663,250,144,1008,89,36,92,44,15.0330727600722,8.65904990980156,60.6133493686109,5.35177390258569,2.16476247745039,5.53217077570655,2.6458208057727
"E01000856",1294,346,152,592,40,43,75,46,26.7387944358578,11.7465224111283,45.7496136012365,3.09119010819165,3.32302936630603,5.79598145285935,3.5548686244204
"E01000857",1197,410,181,404,44,18,84,56,34.2522974101921,15.1211361737678,33.7510442773601,3.67585630743525,1.50375939849624,7.01754385964912,4.67836257309941
"E01000858",1503,350,172,732,44,46,116,43,23.2867598137059,11.4437791084498,48.7025948103792,2.92747837658017,3.06054557551564,7.71789753825682,2.86094477711244
"E01000859",1347,454,214,480,26,37,108,28,33.7045285820342,15.887156644395,35.6347438752784,1.93021529324425,2.74684484038604,8.01781737193764,2.07869339272457
"E01000860",1144,296,146,403,41,38,152,68,25.8741258741259,12.7622377622378,35.2272727272727,3.58391608391608,3.32167832167832,13.2867132867133,5.94405594405594
"E01000861",1384,234,168,796,39,38,81,28,16.9075144508671,12.1387283236994,57.514450867052,2.81791907514451,2.74566473988439,5.85260115606936,2.02312138728324
"E01000862",1465,546,274,462,41,24,74,44,37.2696245733788,18.7030716723549,31.5358361774744,2.79863481228669,1.6382252559727,5.05119453924915,3.00341296928328
"E01000863",1238,260,224,606,38,24,57,29,21.0016155088853,18.0936995153473,48.9499192245557,3.06946688206785,1.93861066235864,4.60420032310178,2.34248788368336
"E01000864",1331,304,210,634,35,29,80,39,22.839969947408,15.7776108189331,47.63335837716,2.62960180315552,2.17881292261458,6.01051840721262,2.93012772351615
"E01000865",840,244,114,369,20,27,44,22,29.0476190476191,13.5714285714286,43.9285714285714,2.38095238095238,3.21428571428571,5.23809523809524,2.61904761904762
"E01000866",1717,392,238,782,35,42,148,80,22.8305183459522,13.8613861386139,45.5445544554455,2.03843913803145,2.44612696563774,8.61968549796156,4.6592894583576
"E01000867",1301,254,193,610,56,36,92,60,19.5234435049962,14.8347425057648,46.8870099923136,4.304381245196,2.76710222905457,7.07148347425058,4.61183704842429
"E01000868",1049,294,126,433,26,49,84,37,28.0266920877026,12.0114394661582,41.2774070543375,2.47855100095329,4.67111534795043,8.00762631077216,3.52716873212583
"E01000869",1793,366,292,903,41,38,108,45,20.4127161182376,16.2855549358617,50.3625209146682,2.28667038482989,2.11935303959844,6.0234244283324,2.50976017847184
"E01000870",1424,306,246,664,28,41,86,53,21.4887640449438,17.2752808988764,46.6292134831461,1.96629213483146,2.87921348314607,6.03932584269663,3.72191011235955
"E01000871",1341,540,142,470,43,24,63,59,40.2684563758389,10.5891126025354,35.048471290082,3.20656226696495,1.78970917225951,4.69798657718121,4.39970171513796
