"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01000944",667,188,54,134,252,10,99,18,21,44,16,1,0,1,0,0,41,29,4,4,4,101,27,28,46,227,11,15,110,1,90
"E01000945",611,223,36,187,221,7,95,31,9,36,19,2,2,0,0,0,45,36,5,4,0,72,18,30,24,167,14,12,65,2,74
"E01000946",715,312,84,228,280,32,129,49,28,34,18,2,2,0,0,0,46,36,6,4,0,71,29,17,25,123,12,12,22,1,76
"E01000947",871,344,44,300,275,5,101,38,19,31,13,3,3,0,0,0,99,81,7,7,4,67,19,12,36,252,10,14,64,1,163
"E01000948",846,362,103,259,358,24,150,58,22,49,21,4,4,0,0,0,108,89,12,6,1,72,29,19,24,126,13,10,17,4,82
"E01000949",739,331,103,228,339,25,138,28,33,55,22,10,10,0,0,0,58,36,14,4,4,108,47,29,32,69,5,11,19,1,33
"E01000950",550,192,48,144,248,3,109,16,20,61,12,0,0,0,0,0,38,18,4,13,3,98,36,25,37,110,12,16,30,3,49
"E01000951",603,230,97,133,252,14,125,23,18,64,20,1,1,0,0,0,25,14,3,6,2,87,36,25,26,121,11,15,48,3,44
"E01000952",675,206,56,150,323,17,120,22,18,50,30,1,1,0,0,0,66,42,13,6,5,119,42,32,45,146,12,16,51,4,63
"E01000953",708,299,132,167,285,11,136,44,20,48,24,2,1,1,0,0,38,25,1,8,4,98,30,22,46,124,19,21,35,0,49
"E01000954",642,202,61,141,338,16,135,19,8,85,23,1,1,0,0,0,38,11,9,11,7,148,65,48,35,102,15,12,16,5,54
"E01000955",657,293,83,210,278,18,136,20,21,70,25,0,0,0,0,0,29,14,4,8,3,95,39,33,23,86,10,12,31,1,32
"E01000956",608,221,28,193,251,4,120,22,14,66,18,0,0,0,0,0,42,32,6,3,1,85,34,23,28,136,10,20,48,0,58
"E01000957",765,263,58,205,345,16,143,49,29,41,24,3,3,0,0,0,90,73,7,7,3,93,38,32,23,157,17,10,25,1,104
"E01000958",835,237,34,203,346,9,111,24,19,44,24,2,2,0,0,0,84,61,9,8,6,140,51,45,44,252,52,15,71,4,110
"E01000959",698,264,83,181,282,27,122,14,30,50,28,1,1,0,0,0,27,17,3,7,0,105,41,23,41,152,14,14,48,3,73
"E01000960",841,321,72,249,378,24,195,81,44,56,14,7,7,0,0,0,95,75,6,12,2,57,19,19,19,142,12,15,15,3,97
"E01000961",652,197,59,138,340,31,163,42,35,65,21,0,0,0,0,0,31,18,5,6,2,115,34,38,43,115,9,17,7,6,76
"E01000962",745,236,37,199,367,13,180,69,58,45,8,9,9,0,0,0,120,101,11,6,2,45,16,7,22,142,3,5,9,1,124
"E01000963",851,311,117,194,408,36,262,101,78,59,24,4,4,0,0,0,46,34,5,6,1,60,12,16,32,132,13,13,25,2,79
"E01000964",713,260,70,190,340,17,164,56,34,57,17,7,7,0,0,0,73,58,9,3,3,79,22,25,32,113,7,12,2,3,89
"E01000965",764,313,69,244,334,19,146,61,24,47,14,2,2,0,0,0,105,94,5,5,1,62,20,16,26,117,7,8,9,1,92
"E01000966",675,222,55,167,338,17,206,94,46,53,13,1,1,0,0,0,95,75,15,4,1,19,5,4,10,115,6,11,3,1,94
"E01000967",619,225,84,141,306,37,179,60,40,63,16,1,1,0,0,0,56,39,14,2,1,33,17,3,13,88,8,15,2,4,59
"E01000968",760,314,88,226,304,9,164,80,27,37,20,1,1,0,0,0,93,81,10,2,0,37,13,9,15,142,6,5,5,0,126
"E01000969",954,341,79,262,399,20,219,94,55,54,16,2,2,0,0,0,111,95,9,7,0,47,29,3,15,214,4,9,7,0,194
"E01000970",831,406,39,367,272,12,110,65,28,11,6,4,4,0,0,0,115,110,4,1,0,31,14,3,14,153,3,3,4,5,138
"E01000971",649,222,50,172,335,14,197,65,42,69,21,2,2,0,0,0,83,69,5,7,2,39,12,7,20,92,2,5,2,2,81
"E01000972",949,414,88,326,396,18,162,70,33,47,12,2,2,0,0,0,85,62,16,7,0,129,52,36,41,139,22,11,10,2,94
"E01000973",894,341,53,288,357,7,141,69,27,30,15,3,3,0,0,0,113,93,11,7,2,93,36,22,35,196,9,12,8,1,166
"E01000974",821,358,72,286,314,13,110,38,25,27,20,3,3,0,0,0,95,82,10,2,1,93,29,37,27,149,15,10,8,1,115
