"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00004762",347,12,12,4,18,4,6,36,101,19,48,41,16,7,18,2,3,32.1671469740634,23,3.45821325648415,3.45821325648415,1.15273775216138,5.18731988472623,1.15273775216138,1.72910662824208,10.3746397694525,29.1066282420749,5.47550432276657,13.8328530259366,11.8155619596542,4.61095100864553,2.01729106628242,5.18731988472623,0.576368876080692,0.864553314121038
"E00004763",223,16,8,5,9,1,2,3,25,21,62,40,9,13,7,2,0,35.695067264574,35,7.17488789237668,3.58744394618834,2.24215246636771,4.03587443946188,0.448430493273543,0.896860986547085,1.34529147982063,11.2107623318386,9.41704035874439,27.8026905829596,17.9372197309417,4.03587443946188,5.82959641255605,3.1390134529148,0.896860986547085,0
"E00004764",240,11,4,4,13,3,6,11,52,19,40,36,9,15,14,2,1,35.6,28,4.58333333333333,1.66666666666667,1.66666666666667,5.41666666666667,1.25,2.5,4.58333333333333,21.6666666666667,7.91666666666667,16.6666666666667,15,3.75,6.25,5.83333333333333,0.833333333333333,0.416666666666667
"E00004765",242,18,15,6,15,3,8,5,18,23,61,40,12,14,3,1,0,32.9132231404959,32.5,7.43801652892562,6.19834710743802,2.47933884297521,6.19834710743802,1.2396694214876,3.30578512396694,2.06611570247934,7.43801652892562,9.50413223140496,25.2066115702479,16.5289256198347,4.95867768595041,5.78512396694215,1.2396694214876,0.413223140495868,0
"E00004766",234,14,5,0,1,0,2,5,11,55,79,23,12,14,8,3,2,37.2905982905983,32,5.98290598290598,2.13675213675214,0,0.427350427350427,0,0.854700854700855,2.13675213675214,4.7008547008547,23.5042735042735,33.7606837606838,9.82905982905983,5.12820512820513,5.98290598290598,3.41880341880342,1.28205128205128,0.854700854700855
"E00004767",296,20,9,4,10,1,6,3,12,52,112,39,7,9,8,2,2,34.3243243243243,32,6.75675675675676,3.04054054054054,1.35135135135135,3.37837837837838,0.337837837837838,2.02702702702703,1.01351351351351,4.05405405405405,17.5675675675676,37.8378378378378,13.1756756756757,2.36486486486486,3.04054054054054,2.7027027027027,0.675675675675676,0.675675675675676
"E00004768",220,14,7,1,7,1,3,0,13,34,83,32,11,11,3,0,0,35.1590909090909,34,6.36363636363636,3.18181818181818,0.454545454545455,3.18181818181818,0.454545454545455,1.36363636363636,0,5.90909090909091,15.4545454545455,37.7272727272727,14.5454545454545,5,5,1.36363636363636,0,0
"E00004769",275,21,7,2,2,2,3,1,16,55,106,36,5,10,4,3,2,34.3563636363636,32,7.63636363636364,2.54545454545455,0.727272727272727,0.727272727272727,0.727272727272727,1.09090909090909,0.363636363636364,5.81818181818182,20,38.5454545454545,13.0909090909091,1.81818181818182,3.63636363636364,1.45454545454545,1.09090909090909,0.727272727272727
"E00004770",204,11,4,0,9,3,6,1,9,18,55,47,14,15,11,1,0,40.9705882352941,40,5.3921568627451,1.96078431372549,0,4.41176470588235,1.47058823529412,2.94117647058824,0.490196078431373,4.41176470588235,8.82352941176471,26.9607843137255,23.0392156862745,6.86274509803922,7.35294117647059,5.3921568627451,0.490196078431373,0
"E00004771",310,20,5,15,20,4,7,4,5,11,58,89,12,33,17,4,6,42.3064516129032,45.5,6.45161290322581,1.61290322580645,4.83870967741935,6.45161290322581,1.29032258064516,2.25806451612903,1.29032258064516,1.61290322580645,3.54838709677419,18.7096774193548,28.7096774193548,3.87096774193548,10.6451612903226,5.48387096774194,1.29032258064516,1.93548387096774
