"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E01000899",1340,83,68,116,6,112,839,116
"E01000900",1480,282,157,104,21,187,627,102
"E01000901",1474,328,179,141,18,173,507,128
"E01000902",1102,241,121,122,13,92,394,119
"E01000903",1247,143,69,103,8,115,707,102
"E01000904",1739,315,176,174,22,167,710,175
"E01000905",1532,447,181,143,24,169,415,153
"E01000906",1380,99,57,89,8,106,928,93
"E01000907",1135,227,104,103,11,103,502,85
"E01000908",1289,193,99,130,10,113,650,94
"E01000909",1370,132,70,114,10,131,848,65
"E01000910",1221,84,59,108,11,106,810,43
"E01000911",1241,192,85,98,18,114,661,73
"E01000912",1329,239,124,125,15,116,627,83
"E01000913",1418,70,70,136,6,133,925,78
"E01000914",1626,124,72,96,7,242,935,150
"E01000915",1234,273,105,105,32,135,463,121
"E01000916",1560,191,127,125,12,143,817,145
"E01000917",1490,290,209,130,12,192,498,159
"E01000918",1886,211,110,172,15,300,873,205
"E01000919",1850,174,107,153,7,393,754,262
"E01000920",1702,205,99,111,26,201,908,152
"E01000921",1692,155,105,132,10,162,1032,96
"E01000922",1322,189,104,104,12,251,584,78
"E01000923",1264,176,75,105,3,108,732,65
"E01000924",1436,122,97,116,11,98,904,88
"E01000925",1173,298,123,124,15,116,402,95
"E01000926",1537,166,84,108,15,151,937,76
"E01000927",1496,192,71,94,14,135,885,105
"E01000928",1377,237,94,112,18,113,697,106
"E01000929",1260,279,149,140,21,103,396,172
"E01000930",1586,352,137,116,19,104,633,225
"E01000931",1589,326,153,168,16,134,595,197
"E01000932",1670,166,99,108,18,102,1018,159
"E01000933",1492,144,82,106,10,137,870,143
"E01000934",1310,273,112,132,8,103,478,204
"E01000935",1047,195,115,132,16,88,368,133
"E01000936",1525,174,106,132,8,335,645,125
"E01000937",1361,96,55,88,4,338,650,130
"E01000938",1390,157,128,136,6,277,544,142
"E01000939",947,247,68,87,7,193,225,120
"E01000940",939,162,68,65,6,96,432,110
"E01000941",1000,243,115,119,17,109,281,116
"E01000942",2006,85,76,145,5,833,697,165
"E01000943",957,66,64,61,3,132,543,88
"E01000944",1627,290,135,107,11,663,328,93
"E01000945",1553,176,109,121,10,476,499,162
"E01000946",1302,172,88,104,13,155,649,121
"E01000947",1765,238,119,115,12,242,872,167
"E01000948",1488,219,102,122,16,119,765,145
"E01000949",1322,299,160,136,17,177,404,129
"E01000950",1100,296,136,115,15,167,245,126
"E01000951",1218,302,122,117,12,190,339,136
"E01000952",1403,338,162,142,17,229,374,141
"E01000953",1349,361,163,150,13,185,339,138
"E01000954",1194,364,159,125,17,174,219,136
"E01000955",1253,347,133,158,15,196,282,122
"E01000956",1187,211,137,111,13,180,390,145
"E01000957",1435,223,117,129,13,194,600,159
"E01000958",1863,290,200,181,13,296,703,180
"E01000959",1376,378,152,127,20,220,359,120
"E01000960",1474,131,93,80,15,114,857,184
"E01000961",1228,205,88,103,9,108,538,177
"E01000962",1376,58,44,65,5,95,989,120
"E01000963",1626,192,76,93,7,97,879,282
"E01000964",1309,105,84,96,17,100,789,118
"E01000965",1315,100,74,77,6,89,855,114
"E01000966",1296,59,29,53,6,66,960,123
"E01000967",1149,123,64,89,13,79,643,138
"E01000968",1336,112,66,58,10,93,901,96
"E01000969",1791,73,62,78,14,115,1278,171
"E01000970",1362,60,46,77,11,81,984,103
"E01000971",1237,99,60,71,13,83,798,113
"E01000972",1676,251,130,136,20,162,810,167
"E01000973",1654,181,113,128,15,155,939,123
"E01000974",1491,230,122,152,25,124,683,155
