"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E01000889",657,38,71,2,338,134,63,3,8,5.78386605783866,10.806697108067,0.30441400304414,51.4459665144597,20.3957382039574,9.58904109589041,0.45662100456621,1.21765601217656
"E01000890",767,21,46,5,627,8,48,6,6,2.73794002607562,5.9973924380704,0.651890482398957,81.7470664928292,1.04302477183833,6.25814863102999,0.782268578878748,0.782268578878748
"E01000891",672,37,54,4,433,27,103,5,9,5.50595238095238,8.03571428571429,0.595238095238095,64.4345238095238,4.01785714285714,15.327380952381,0.744047619047619,1.33928571428571
"E01000892",823,174,146,16,214,19,218,16,20,21.142162818955,17.7399756986634,1.94410692588092,26.0024301336573,2.3086269744836,26.4884568651276,1.94410692588092,2.43013365735115
"E01000893",715,279,147,5,19,13,233,11,8,39.020979020979,20.5594405594406,0.699300699300699,2.65734265734266,1.81818181818182,32.5874125874126,1.53846153846154,1.11888111888112
"E01000894",619,246,116,0,21,5,207,13,11,39.7415185783522,18.7399030694669,0,3.39256865912763,0.807754442649435,33.4410339256866,2.10016155088853,1.77705977382876
"E01000895",841,195,105,3,173,30,291,20,24,23.1866825208086,12.4851367419738,0.356718192627824,20.5707491082045,3.56718192627824,34.6016646848989,2.37812128418549,2.85374554102259
"E01000896",756,302,147,0,16,15,257,8,11,39.9470899470899,19.4444444444444,0,2.11640211640212,1.98412698412698,33.994708994709,1.05820105820106,1.45502645502645
"E01000897",721,278,151,0,14,2,244,8,24,38.5575589459085,20.9431345353675,0,1.94174757281553,0.277392510402219,33.8418862690707,1.10957004160888,3.32871012482663
"E01000898",850,113,71,2,177,198,243,26,20,13.2941176470588,8.35294117647059,0.235294117647059,20.8235294117647,23.2941176470588,28.5882352941176,3.05882352941176,2.35294117647059
"E01000899",698,325,155,0,9,3,164,7,35,46.5616045845272,22.2063037249284,0,1.28939828080229,0.429799426934097,23.4957020057307,1.00286532951289,5.01432664756447
"E01000900",757,102,132,6,287,38,172,10,10,13.4742404227213,17.4372523117569,0.792602377807133,37.9128137384412,5.01981505944518,22.7212681638045,1.32100396301189,1.32100396301189
"E01000901",703,31,78,25,307,158,90,4,10,4.40967283072546,11.0953058321479,3.55618776671408,43.6699857752489,22.475106685633,12.8022759601707,0.568990042674253,1.42247510668563
"E01000902",590,46,60,7,323,44,96,6,8,7.79661016949153,10.1694915254237,1.1864406779661,54.7457627118644,7.45762711864407,16.271186440678,1.01694915254237,1.35593220338983
