"GeographyCode","KS607EW0001","KS607EW0002","KS607EW0003","KS607EW0004","KS607EW0005","KS607EW0006","KS607EW0007","KS607EW0008","KS607EW0009","KS607EW0010","KS607EW0011","KS607EW0012","KS607EW0013","KS607EW0014","KS607EW0015","KS607EW0016","KS607EW0017","KS607EW0018","KS607EW0019","KS607EW0020","KS607EW0021","KS607EW0022","KS607EW0023","KS607EW0024","KS607EW0025","KS607EW0026","KS607EW0027","KS607EW0028","KS607EW0029","KS607EW0030","KS607EW0031","KS607EW0032","KS607EW0033","KS607EW0034","KS607EW0035","KS607EW0036","KS607EW0037"
"E00004583",90,0,0,2,1,0,0,9,0,4,13,3,3,13,5,3,17,10,7,0,0,2.22222222222222,1.11111111111111,0,0,10,0,4.44444444444444,14.4444444444444,3.33333333333333,3.33333333333333,14.4444444444444,5.55555555555556,3.33333333333333,18.8888888888889,11.1111111111111,7.77777777777778
"E00004584",94,0,0,1,0,0,1,6,0,5,13,6,1,16,4,5,19,11,6,0,0,1.06382978723404,0,0,1.06382978723404,6.38297872340426,0,5.31914893617021,13.8297872340426,6.38297872340426,1.06382978723404,17.0212765957447,4.25531914893617,5.31914893617021,20.2127659574468,11.7021276595745,6.38297872340426
"E00004585",80,0,0,0,0,0,1,5,0,0,6,5,2,13,2,2,20,10,14,0,0,0,0,0,1.25,6.25,0,0,7.5,6.25,2.5,16.25,2.5,2.5,25,12.5,17.5
"E00004586",78,0,0,1,0,0,1,5,0,2,12,2,0,14,3,2,17,9,10,0,0,1.28205128205128,0,0,1.28205128205128,6.41025641025641,0,2.56410256410256,15.3846153846154,2.56410256410256,0,17.9487179487179,3.84615384615385,2.56410256410256,21.7948717948718,11.5384615384615,12.8205128205128
"E00004587",79,0,0,3,0,0,0,11,1,1,10,1,2,11,1,2,15,14,7,0,0,3.79746835443038,0,0,0,13.9240506329114,1.26582278481013,1.26582278481013,12.6582278481013,1.26582278481013,2.53164556962025,13.9240506329114,1.26582278481013,2.53164556962025,18.9873417721519,17.7215189873418,8.86075949367089
"E00004588",105,0,0,0,0,0,1,1,2,2,14,11,3,22,3,2,18,6,20,0,0,0,0,0,0.952380952380952,0.952380952380952,1.9047619047619,1.9047619047619,13.3333333333333,10.4761904761905,2.85714285714286,20.952380952381,2.85714285714286,1.9047619047619,17.1428571428571,5.71428571428571,19.047619047619
"E00004589",75,0,0,2,0,0,1,6,0,3,12,5,0,13,1,2,10,9,11,0,0,2.66666666666667,0,0,1.33333333333333,8,0,4,16,6.66666666666667,0,17.3333333333333,1.33333333333333,2.66666666666667,13.3333333333333,12,14.6666666666667
"E00004590",69,0,0,1,0,0,0,6,1,1,8,3,2,19,2,4,11,7,4,0,0,1.44927536231884,0,0,0,8.69565217391304,1.44927536231884,1.44927536231884,11.5942028985507,4.34782608695652,2.89855072463768,27.536231884058,2.89855072463768,5.79710144927536,15.9420289855072,10.1449275362319,5.79710144927536
"E00004591",61,0,0,1,0,0,0,6,0,6,6,1,1,10,4,3,4,8,11,0,0,1.63934426229508,0,0,0,9.83606557377049,0,9.83606557377049,9.83606557377049,1.63934426229508,1.63934426229508,16.3934426229508,6.55737704918033,4.91803278688525,6.55737704918033,13.1147540983607,18.0327868852459
"E00004592",57,0,0,1,0,0,0,5,1,2,5,4,1,14,1,4,7,6,6,0,0,1.75438596491228,0,0,0,8.7719298245614,1.75438596491228,3.50877192982456,8.7719298245614,7.01754385964912,1.75438596491228,24.5614035087719,1.75438596491228,7.01754385964912,12.280701754386,10.5263157894737,10.5263157894737
"E00004593",161,0,0,2,0,0,1,25,4,13,21,6,0,28,9,3,14,18,17,0,0,1.24223602484472,0,0,0.62111801242236,15.527950310559,2.48447204968944,8.07453416149068,13.0434782608696,3.72670807453416,0,17.3913043478261,5.59006211180124,1.86335403726708,8.69565217391304,11.1801242236025,10.5590062111801
"E00004594",72,0,0,0,0,0,1,5,1,3,10,3,1,14,3,4,13,8,6,0,0,0,0,0,1.38888888888889,6.94444444444444,1.38888888888889,4.16666666666667,13.8888888888889,4.16666666666667,1.38888888888889,19.4444444444444,4.16666666666667,5.55555555555556,18.0555555555556,11.1111111111111,8.33333333333333
"E00004595",67,0,0,3,1,1,1,1,1,1,15,5,1,7,2,3,8,6,11,0,0,4.47761194029851,1.49253731343284,1.49253731343284,1.49253731343284,1.49253731343284,1.49253731343284,1.49253731343284,22.3880597014925,7.46268656716418,1.49253731343284,10.4477611940298,2.98507462686567,4.47761194029851,11.9402985074627,8.95522388059701,16.4179104477612
"E00004596",58,1,0,4,0,0,0,1,0,2,10,0,1,13,1,3,10,7,5,1.72413793103448,0,6.89655172413793,0,0,0,1.72413793103448,0,3.44827586206897,17.2413793103448,0,1.72413793103448,22.4137931034483,1.72413793103448,5.17241379310345,17.2413793103448,12.0689655172414,8.62068965517241
"E00004597",238,0,0,12,0,0,0,15,1,4,75,3,1,29,32,2,22,24,18,0,0,5.04201680672269,0,0,0,6.30252100840336,0.420168067226891,1.68067226890756,31.5126050420168,1.26050420168067,0.420168067226891,12.1848739495798,13.4453781512605,0.840336134453782,9.2436974789916,10.0840336134454,7.56302521008403
"E00004598",60,0,0,1,0,0,0,8,0,1,4,4,0,10,0,2,8,8,14,0,0,1.66666666666667,0,0,0,13.3333333333333,0,1.66666666666667,6.66666666666667,6.66666666666667,0,16.6666666666667,0,3.33333333333333,13.3333333333333,13.3333333333333,23.3333333333333
"E00004599",85,0,0,3,0,0,1,10,0,1,5,2,1,14,3,6,17,12,10,0,0,3.52941176470588,0,0,1.17647058823529,11.7647058823529,0,1.17647058823529,5.88235294117647,2.35294117647059,1.17647058823529,16.4705882352941,3.52941176470588,7.05882352941176,20,14.1176470588235,11.7647058823529
"E00004600",69,0,0,0,0,0,0,12,1,6,2,3,1,8,5,4,8,14,5,0,0,0,0,0,0,17.3913043478261,1.44927536231884,8.69565217391304,2.89855072463768,4.34782608695652,1.44927536231884,11.5942028985507,7.2463768115942,5.79710144927536,11.5942028985507,20.2898550724638,7.2463768115942
"E00004601",47,0,0,0,0,0,0,8,0,4,4,0,0,7,1,1,6,10,6,0,0,0,0,0,0,17.0212765957447,0,8.51063829787234,8.51063829787234,0,0,14.8936170212766,2.12765957446809,2.12765957446809,12.7659574468085,21.2765957446809,12.7659574468085
"E00004602",84,0,0,2,0,0,0,7,2,3,9,1,3,23,0,3,11,7,13,0,0,2.38095238095238,0,0,0,8.33333333333333,2.38095238095238,3.57142857142857,10.7142857142857,1.19047619047619,3.57142857142857,27.3809523809524,0,3.57142857142857,13.0952380952381,8.33333333333333,15.4761904761905
"E00004603",73,0,0,0,0,0,0,10,1,3,7,3,0,5,3,5,12,15,9,0,0,0,0,0,0,13.6986301369863,1.36986301369863,4.10958904109589,9.58904109589041,4.10958904109589,0,6.84931506849315,4.10958904109589,6.84931506849315,16.4383561643836,20.5479452054795,12.3287671232877
"E00004604",54,0,0,0,0,0,0,9,1,5,2,3,1,7,4,2,5,10,5,0,0,0,0,0,0,16.6666666666667,1.85185185185185,9.25925925925926,3.7037037037037,5.55555555555556,1.85185185185185,12.962962962963,7.40740740740741,3.7037037037037,9.25925925925926,18.5185185185185,9.25925925925926
"E00004605",68,0,0,1,0,0,1,12,0,5,5,1,1,10,3,3,16,7,3,0,0,1.47058823529412,0,0,1.47058823529412,17.6470588235294,0,7.35294117647059,7.35294117647059,1.47058823529412,1.47058823529412,14.7058823529412,4.41176470588235,4.41176470588235,23.5294117647059,10.2941176470588,4.41176470588235
"E00004606",89,0,0,0,0,1,1,9,0,3,4,8,1,13,4,2,14,18,11,0,0,0,0,1.12359550561798,1.12359550561798,10.1123595505618,0,3.37078651685393,4.49438202247191,8.98876404494382,1.12359550561798,14.6067415730337,4.49438202247191,2.24719101123596,15.7303370786517,20.2247191011236,12.3595505617978
"E00004607",37,0,0,1,0,0,0,5,0,8,1,0,1,4,3,0,3,7,4,0,0,2.7027027027027,0,0,0,13.5135135135135,0,21.6216216216216,2.7027027027027,0,2.7027027027027,10.8108108108108,8.10810810810811,0,8.10810810810811,18.9189189189189,10.8108108108108
"E00004608",68,0,0,0,0,0,1,11,1,3,7,4,2,7,7,3,4,9,9,0,0,0,0,0,1.47058823529412,16.1764705882353,1.47058823529412,4.41176470588235,10.2941176470588,5.88235294117647,2.94117647058824,10.2941176470588,10.2941176470588,4.41176470588235,5.88235294117647,13.2352941176471,13.2352941176471
"E00004609",94,1,1,1,0,0,4,12,0,9,5,1,3,21,5,1,9,12,9,1.06382978723404,1.06382978723404,1.06382978723404,0,0,4.25531914893617,12.7659574468085,0,9.57446808510638,5.31914893617021,1.06382978723404,3.19148936170213,22.3404255319149,5.31914893617021,1.06382978723404,9.57446808510638,12.7659574468085,9.57446808510638
"E00004610",56,0,0,1,0,0,0,10,0,4,6,0,4,7,4,0,1,12,7,0,0,1.78571428571429,0,0,0,17.8571428571429,0,7.14285714285714,10.7142857142857,0,7.14285714285714,12.5,7.14285714285714,0,1.78571428571429,21.4285714285714,12.5
"E00004611",20,0,0,0,0,0,1,3,1,1,0,1,1,1,1,1,3,5,1,0,0,0,0,0,5,15,5,5,0,5,5,5,5,5,15,25,5
