"GeographyCode","KS101EW0001","KS101EW0002","KS101EW0003","KS101EW0004","KS101EW0005","KS101EW0006","KS101EW0007","KS101EW0008","KS101EW0009","KS101EW0010","KS101EW0011","KS101EW0012"
"E01000892",1843,880,963,1843,0,27,12.23,150.695012264922,47.7482365708085,52.2517634291915,100,0
"E01000893",1566,745,821,1566,0,27,52.78,29.6703296703297,47.57343550447,52.42656449553,100,0
"E01000894",1389,680,709,1376,13,42,22.17,62.6522327469553,48.9560835133189,51.0439164866811,99.0640748740101,0.935925125989921
"E01000895",1630,811,819,1629,1,24,9.81,166.156982670744,49.7546012269939,50.2453987730061,99.9386503067485,0.0613496932515337
"E01000896",1692,822,870,1692,0,37,15.11,111.978821972204,48.5815602836879,51.4184397163121,100,0
"E01000897",1597,759,838,1595,2,26,19.8,80.6565656565656,47.5266123982467,52.4733876017533,99.8747651847214,0.125234815278647
"E01000898",1729,836,893,1688,41,17,17.05,101.407624633431,48.3516483516484,51.6483516483517,97.6286871023713,2.37131289762869
"E01000899",1667,822,845,1606,61,49,108.26,15.3981156475152,49.3101379724055,50.6898620275945,96.3407318536293,3.65926814637073
"E01000900",1801,859,942,1795,6,24,9.94,181.187122736419,47.6957245974459,52.3042754025541,99.6668517490283,0.333148250971682
"E01000901",1977,939,1038,1821,156,14,10.6,186.509433962264,47.4962063732929,52.5037936267071,92.1092564491654,7.8907435508346
"E01000902",1451,687,764,1451,0,8,8.41,172.532699167658,47.3466574776017,52.6533425223983,100,0
"E01000903",1439,709,730,1418,21,9,10.19,141.216879293425,49.2703266157054,50.7296733842946,98.5406532314107,1.4593467685893
"E01000904",2120,1063,1057,2120,0,13,11.65,181.974248927039,50.1415094339623,49.8584905660377,100,0
"E01000905",2044,951,1093,1965,79,23,8.6,237.674418604651,46.5264187866928,53.4735812133072,96.1350293542074,3.86497064579256
"E01000906",1532,682,850,1532,0,28,13.76,111.337209302326,44.5169712793734,55.4830287206266,100,0
"E01000907",1430,663,767,1430,0,17,10.72,133.39552238806,46.3636363636364,53.6363636363636,100,0
"E01000908",1581,686,895,1581,0,17,17.5,90.3428571428571,43.3902593295383,56.6097406704617,100,0
"E01000909",1614,766,848,1614,0,47,22.86,70.6036745406824,47.4597273853779,52.5402726146221,100,0
"E01000910",1472,718,754,1472,0,36,13.02,113.056835637481,48.7771739130435,51.2228260869565,100,0
"E01000911",1559,738,821,1549,10,14,8.81,176.958002270148,47.3380372033355,52.6619627966645,99.3585631815266,0.64143681847338
"E01000912",1589,734,855,1589,0,14,89.61,17.7323959379534,46.1925739458779,53.8074260541221,100,0
"E01000913",1710,840,870,1702,8,51,161.7,10.5751391465677,49.1228070175439,50.8771929824561,99.5321637426901,0.467836257309942
"E01000914",1762,928,834,1753,9,20,44.77,39.3567120839848,52.6674233825199,47.3325766174801,99.4892167990919,0.510783200908059
"E01000915",1527,785,742,1527,0,15,7.41,206.072874493927,51.4079895219384,48.5920104780616,100,0
"E01000916",1796,942,854,1718,78,17,14.73,121.928038017651,52.4498886414254,47.5501113585746,95.6570155902004,4.34298440979955
"E01000917",1888,1004,884,1855,33,9,7.56,249.73544973545,53.1779661016949,46.8220338983051,98.2521186440678,1.7478813559322
"E01000918",2090,1125,965,1885,205,11,16.82,124.256837098692,53.8277511961722,46.1722488038278,90.1913875598086,9.80861244019139
"E01000919",2014,1084,930,1658,356,17,15.28,131.806282722513,53.8232373386296,46.1767626613704,82.3237338629593,17.6762661370407
"E01000920",1946,1040,906,1921,25,20,13.54,143.722304283604,53.4429599177801,46.5570400822199,98.7153134635149,1.2846865364851
"E01000921",1966,940,1026,1963,3,12,12.44,158.038585209003,47.8128179043744,52.1871820956256,99.8474059003052,0.152594099694812
"E01000922",1547,761,786,1537,10,9,19.11,80.9523809523809,49.1919844861021,50.8080155138979,99.3535875888817,0.646412411118293
"E01000923",1494,689,805,1436,58,19,8.54,174.941451990632,46.1178045515395,53.8821954484605,96.1178045515395,3.88219544846051
"E01000924",1637,785,852,1637,0,15,9.83,166.531027466938,47.9535736102627,52.0464263897373,100,0
"E01000925",1563,736,827,1552,11,18,8.28,188.768115942029,47.0889315419066,52.9110684580934,99.2962252079335,0.703774792066539
"E01000926",1791,866,925,1791,0,21,9.24,193.831168831169,48.3528754885539,51.6471245114461,100,0
"E01000927",1738,836,902,1732,6,15,10.06,172.763419483101,48.1012658227848,51.8987341772152,99.6547756041427,0.345224395857307
"E01000928",1681,843,838,1620,61,20,25.25,66.5742574257426,50.1487209994051,49.8512790005949,96.3712076145152,3.62879238548483
"E01000929",1675,784,891,1675,0,21,9.78,171.267893660532,46.8059701492537,53.1940298507463,100,0
"E01000930",1910,896,1014,1910,0,16,11.62,164.371772805508,46.9109947643979,53.0890052356021,100,0
"E01000931",1910,889,1021,1902,8,20,14.71,129.843643779742,46.5445026178011,53.455497382199,99.5811518324607,0.418848167539267
"E01000932",1838,932,906,1825,13,11,6.61,278.063540090772,50.7072905331882,49.2927094668118,99.2927094668118,0.707290533188248
"E01000933",1671,838,833,1671,0,10,10.9,153.302752293578,50.1496110113704,49.8503889886296,100,0
"E01000934",1619,753,866,1542,77,19,8.71,185.878300803674,46.5101914762199,53.4898085237801,95.2439777640519,4.75602223594812
"E01000935",1415,631,784,1415,0,23,6.21,227.858293075684,44.5936395759717,55.4063604240283,100,0
"E01000936",1839,898,941,1360,479,21,8.88,207.094594594595,48.8308863512779,51.1691136487221,73.9532354540511,26.0467645459489
"E01000937",1504,735,769,943,561,8,12.55,119.840637450199,48.8696808510638,51.1303191489362,62.6994680851064,37.3005319148936
"E01000938",1752,924,828,1726,26,10,8.16,214.705882352941,52.7397260273973,47.2602739726027,98.5159817351598,1.48401826484018
"E01000939",1223,593,630,1197,26,9,7.86,155.59796437659,48.4873262469338,51.5126737530662,97.8740801308258,2.12591986917416
"E01000940",1130,571,559,1124,6,14,4.87,232.032854209446,50.5309734513274,49.4690265486726,99.4690265486726,0.530973451327434
