"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01000863",1481,716,93,0,38,14,11,8,6,36,7,27,23,0,70,17,8,19,1,0,0,0,0,0,24,0,1,0,0,3,0,7,2,2,1,0,0,0,0,2,0,9,1,0,0,2,0,36,5,3,1,0,12,0,30,23,0,1,4,0,12,1,0,0,1,5,0,4,32,13,2,104,1,17,0,0,1,0,12,0,0,7,0,0,5,0,0,0,1,0,0,0,0,0,0
"E01000864",1537,861,48,4,19,23,7,23,12,19,5,62,22,0,58,36,6,29,1,4,0,0,0,0,16,2,0,0,2,11,0,0,2,1,0,0,0,0,0,2,1,6,0,0,3,1,0,19,8,5,5,0,11,0,28,9,0,3,4,4,14,3,2,0,0,0,0,4,15,6,1,58,0,13,0,0,0,0,19,0,0,5,0,0,3,6,0,0,3,0,0,2,0,0,1
"E01000865",1505,788,41,1,29,21,3,14,9,63,14,27,105,2,45,10,1,7,0,0,0,0,1,0,18,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,35,2,10,3,0,5,1,15,8,0,1,0,0,13,1,1,0,0,0,0,0,35,9,1,95,0,10,0,0,1,0,0,0,0,5,0,1,4,6,0,0,12,0,6,2,0,0,0
"E01000866",2030,1046,73,3,30,29,24,32,16,22,13,104,16,7,103,65,4,26,6,1,0,4,0,2,22,1,1,0,1,12,0,2,1,2,1,0,2,3,0,0,1,7,0,0,7,0,0,32,7,23,23,0,12,1,30,9,0,2,13,5,19,1,1,5,0,0,1,4,20,20,2,76,2,7,1,0,1,0,14,0,0,1,0,3,1,3,1,0,0,0,0,1,0,0,0
"E01000867",1608,638,52,1,21,16,19,22,5,17,4,179,78,8,110,23,5,17,2,16,0,9,0,0,16,3,0,1,1,5,0,5,0,3,1,0,0,1,2,4,0,7,0,0,8,0,0,28,19,11,8,0,13,0,22,4,0,0,15,7,19,6,0,0,1,10,0,3,10,7,1,68,0,18,0,2,0,0,14,0,0,9,0,0,0,7,1,0,2,0,1,2,0,1,0
"E01000868",1442,473,37,2,26,33,12,10,10,10,6,158,19,7,246,53,26,18,0,1,0,0,0,0,3,0,0,0,2,15,0,0,1,0,5,0,0,0,0,0,2,5,1,0,1,0,0,24,21,7,14,0,10,0,9,3,3,3,11,4,11,0,4,0,2,3,0,2,3,1,0,46,0,11,18,0,0,0,33,0,0,0,1,0,3,6,0,0,6,0,1,0,0,0,0
"E01000869",2110,1055,83,0,45,29,21,43,11,39,11,72,33,8,111,34,22,20,1,0,0,0,0,0,30,2,2,0,3,2,0,15,0,2,0,5,0,0,0,0,2,7,1,0,2,1,0,41,4,13,12,0,6,1,32,6,0,1,8,1,15,0,0,6,0,0,0,6,32,16,1,121,0,10,14,0,0,0,9,0,0,3,0,0,2,26,1,0,4,0,5,2,0,0,0
"E01000870",1693,939,80,3,28,34,22,14,6,24,7,51,23,1,106,37,6,10,5,0,0,3,2,1,16,1,3,0,3,16,0,3,1,1,6,0,0,0,0,0,6,3,1,0,1,1,0,26,4,10,12,0,6,1,24,4,0,4,6,0,6,0,0,0,1,5,1,6,11,4,1,72,1,9,0,0,1,0,6,0,0,0,0,0,0,3,0,0,0,1,3,1,0,0,0
"E01000871",1664,803,53,0,59,15,5,56,1,63,26,72,18,8,61,18,3,53,5,9,5,1,0,1,15,4,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,18,0,2,3,0,0,39,9,16,7,0,15,4,15,4,0,0,7,2,11,0,1,6,4,1,0,3,22,13,0,57,0,22,3,0,3,0,0,0,1,3,1,0,2,3,0,0,2,0,4,0,0,0,0
"E01000872",1902,720,126,0,44,31,13,47,17,83,4,15,49,19,88,39,4,46,2,9,0,0,0,1,30,9,1,0,0,4,0,2,0,4,2,2,0,0,0,0,0,17,1,0,1,0,0,62,40,5,0,0,25,3,39,10,0,4,3,3,10,3,1,4,3,4,0,11,13,30,3,87,0,63,0,0,0,0,9,0,0,20,1,0,4,3,0,0,3,3,1,2,0,0,0
