"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E01000873",1639,610,12,13,110,60,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,485,470,5,5,0,0,2,3,0,342
"E01000874",1559,526,11,52,171,82,4,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,424,418,0,3,0,0,0,3,0,279
"E01000875",1654,558,30,31,56,157,1,14,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,409,389,1,4,0,0,2,13,0,398
"E01000876",1748,670,7,15,44,326,8,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,299,290,4,2,0,0,1,2,0,368
"E01000877",1574,588,13,18,153,62,0,11,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,394,389,0,0,0,0,0,5,0,335
"E01000878",1624,442,25,65,287,115,7,21,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,389,381,3,1,0,0,0,4,0,273
"E01000879",1458,517,22,29,158,34,4,13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,402,398,1,1,0,0,0,2,0,279
"E01000880",1602,604,19,39,200,56,2,19,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,349,341,1,2,0,0,0,5,0,314
"E01000881",1510,507,25,32,122,91,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,369,360,2,2,0,0,0,5,0,358
"E01000882",1513,540,22,24,156,41,1,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,337,330,0,2,0,0,2,3,0,385
"E01000883",1326,423,33,44,113,77,6,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,4,365,359,0,0,0,0,0,6,0,251
"E01000884",1469,423,10,31,305,54,2,9,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,287,281,2,0,0,0,0,4,0,348
"E01000885",1484,456,25,12,279,47,3,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,265,259,0,0,0,0,3,3,0,384
"E01000886",1445,506,21,10,33,47,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,522,508,7,0,0,0,3,3,1,300
"E01000887",1486,542,12,24,55,72,2,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,454,445,0,1,0,0,1,7,0,319
"E01000888",1605,608,22,12,73,98,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,499,490,1,2,0,0,0,6,0,282
"E01000889",1670,715,12,1,15,281,1,9,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,343,340,1,0,0,0,1,1,0,293
"E01000890",1640,705,17,11,6,326,2,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,271,268,0,0,0,0,1,2,0,290
"E01000891",1575,558,11,10,12,343,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,305,299,2,0,0,0,0,4,0,333
"E01000892",1843,633,19,16,82,154,4,12,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,560,554,2,1,0,0,0,3,0,363
"E01000893",1566,487,25,15,111,16,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,602,583,6,3,0,0,2,8,0,295
"E01000894",1389,501,21,13,161,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,379,0,4,0,0,1,2,0,283
