"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E01000854",1833,35,1083,20,331,23,29,241,82,24,18,36,1,1.90943807965085,59.0834697217676,1.0911074740862,18.0578286961266,1.25477359519913,1.58210583742499,13.1478450627387,4.47354064375341,1.30932896890344,0.981996726677578,1.96399345335516,0.0545553737043099
"E01000855",1764,25,1170,50,242,36,25,145,89,6,12,73,1,1.4172335600907,66.3265306122449,2.83446712018141,13.718820861678,2.04081632653061,1.4172335600907,8.21995464852608,5.0453514739229,0.340136054421769,0.680272108843537,4.13832199546485,0.0566893424036281
"E01000856",1645,97,1192,36,145,11,25,70,74,0,11,31,0,5.89665653495441,72.4620060790273,2.18844984802432,8.81458966565349,0.668693009118541,1.51975683890578,4.25531914893617,4.49848024316109,0,0.668693009118541,1.88449848024316,0
"E01000857",1447,71,1004,34,152,22,18,37,154,3,8,55,0,4.90670352453352,69.3849343469247,2.34968901174845,10.5044920525225,1.52038700760194,1.24395300621977,2.55701451278507,10.6427090532135,0.207325501036628,0.55286800276434,3.80096751900484,0
"E01000858",1861,135,1378,59,148,13,19,62,53,2,17,41,0,7.25416442772703,74.0462117141322,3.17033852767329,7.95271359484148,0.698549167114455,1.02095647501343,3.33154218162278,2.84793121977431,0.107469102632993,0.913487372380441,2.20311660397636,0
"E01000859",1586,28,1170,45,149,17,19,42,165,5,8,79,0,1.76544766708701,73.7704918032787,2.83732660781841,9.39470365699874,1.0718789407314,1.19798234552333,2.64817150063052,10.4035308953342,0.315258511979823,0.504413619167718,4.98108448928121,0
"E01000860",1307,76,926,53,141,16,24,37,76,4,12,36,0,5.81484315225708,70.849273144606,4.05508798775822,10.7880642693191,1.22417750573833,1.8362662586075,2.83091048201989,5.81484315225708,0.306044376434583,0.918133129303749,2.75439938791125,0
"E01000861",1574,74,1135,67,173,20,15,62,53,2,7,46,0,4.70139771283355,72.1092757306226,4.2566709021601,10.9911054637865,1.27064803049555,0.952986022871665,3.93900889453621,3.36721728081321,0.127064803049555,0.444726810673443,2.92249047013977,0
"E01000862",1712,28,1266,36,188,23,23,48,166,22,12,74,0,1.63551401869159,73.9485981308411,2.10280373831776,10.981308411215,1.34345794392523,1.34345794392523,2.80373831775701,9.69626168224299,1.28504672897196,0.700934579439252,4.32242990654206,0
"E01000863",1481,77,933,70,211,23,16,86,87,0,7,44,0,5.19918973666442,62.997974341661,4.72653612424038,14.2471303173531,1.55300472653612,1.08035111411209,5.80688723835246,5.87440918298447,0,0.472653612424038,2.97096556380824,0
