"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01000861",1574,58,34,24,63,11,25,55,245,248,411,229,51,75,36,6,3,3.6848792884371,2.16010165184244,1.52477763659466,4.00254129606099,0.698856416772554,1.58831003811944,3.49428208386277,15.5654383735705,15.7560355781449,26.1118170266836,14.5489199491741,3.24015247776366,4.76493011435832,2.28716645489199,0.381194409148666,0.190597204574333
"E01000862",1712,82,47,30,70,18,15,9,84,184,532,303,92,141,77,14,14,4.78971962616822,2.74532710280374,1.75233644859813,4.08878504672897,1.05140186915888,0.876168224299065,0.525700934579439,4.90654205607477,10.7476635514019,31.0747663551402,17.6985981308411,5.37383177570093,8.23598130841122,4.49766355140187,0.817757009345794,0.817757009345794
"E01000863",1481,54,30,20,37,4,21,38,201,266,433,218,46,67,36,7,3,3.64618501012829,2.02565833896016,1.35043889264011,2.4983119513842,0.270087778528022,1.41796083727211,2.56583389601621,13.5719108710331,17.9608372721134,29.2370020256583,14.7197839297772,3.10600945307225,4.52397029034436,2.43079000675219,0.472653612424038,0.202565833896016
"E01000864",1537,89,23,17,66,11,28,30,183,231,423,260,50,71,40,14,1,5.79050097592713,1.49642160052049,1.1060507482108,4.29407937540664,0.715679895901106,1.82173064411191,1.95185426154847,11.9063109954457,15.0292778139232,27.5211450878334,16.9160702667534,3.25309043591412,4.61938841899805,2.60247234873129,0.910865322055953,0.0650618087182824
"E01000865",1505,39,29,14,45,10,18,291,285,159,271,181,49,76,27,9,2,2.59136212624585,1.92691029900332,0.930232558139535,2.99003322259136,0.664451827242525,1.19601328903654,19.3355481727575,18.936877076412,10.5647840531561,18.0066445182724,12.0265780730897,3.25581395348837,5.04983388704319,1.79401993355482,0.598006644518272,0.132890365448505
"E01000866",2030,115,51,47,83,17,38,44,179,269,499,377,71,129,83,18,10,5.66502463054187,2.51231527093596,2.31527093596059,4.08866995073892,0.83743842364532,1.87192118226601,2.16748768472906,8.81773399014778,13.2512315270936,24.5812807881773,18.5714285714286,3.49753694581281,6.35467980295567,4.08866995073892,0.886699507389163,0.492610837438424
"E01000867",1608,105,53,38,93,18,23,46,221,217,397,185,59,77,51,15,10,6.52985074626866,3.29601990049751,2.36318407960199,5.78358208955224,1.11940298507463,1.43034825870647,2.86069651741294,13.7437810945274,13.4950248756219,24.6890547263682,11.5049751243781,3.66915422885572,4.78855721393035,3.17164179104478,0.932835820895522,0.621890547263682
"E01000868",1442,142,68,41,124,18,22,30,81,143,372,251,61,54,33,0,2,9.84743411927878,4.71567267683773,2.84327323162275,8.59916782246879,1.24826629680999,1.52565880721221,2.08044382801664,5.61719833564494,9.91678224687933,25.7975034674064,17.4063800277393,4.23023578363384,3.74479889042996,2.28848821081831,0,0.13869625520111
"E01000869",2110,123,49,31,82,20,29,50,292,291,594,270,90,117,58,10,4,5.82938388625592,2.32227488151659,1.46919431279621,3.88625592417062,0.947867298578199,1.37440758293839,2.3696682464455,13.8388625592417,13.7914691943128,28.1516587677725,12.7962085308057,4.2654028436019,5.54502369668246,2.74881516587678,0.4739336492891,0.18957345971564
"E01000870",1693,87,39,27,94,22,44,28,140,221,410,342,67,105,50,11,6,5.13880685174247,2.30360307147076,1.59480212640284,5.55227406969876,1.2994683992912,2.5989367985824,1.65386887182516,8.26934435912581,13.0537507383343,24.2173656231542,20.2008269344359,3.95747194329592,6.20200826934436,2.95333727111636,0.6497341996456,0.354400472533963
