"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01000919",834,19,215,109,32,15,145,2.27817745803357,25.779376498801,13.0695443645084,3.83693045563549,1.79856115107914,17.3860911270983
"E01000920",946,34,222,160,80,39,171,3.59408033826638,23.4672304439746,16.9133192389006,8.45665961945032,4.12262156448203,18.0761099365751
"E01000921",946,37,137,184,88,42,119,3.91120507399577,14.4820295983087,19.4503171247357,9.30232558139535,4.43974630021142,12.5792811839323
"E01000922",653,38,156,131,66,29,120,5.81929555895865,23.8897396630934,20.0612557427259,10.1071975497703,4.44104134762634,18.3767228177642
"E01000923",656,18,148,158,76,28,128,2.74390243902439,22.5609756097561,24.0853658536585,11.5853658536585,4.26829268292683,19.5121951219512
"E01000924",795,21,158,136,68,25,123,2.64150943396226,19.874213836478,17.1069182389937,8.55345911949686,3.14465408805031,15.4716981132075
"E01000925",629,69,197,211,94,59,167,10.9697933227345,31.3195548489666,33.5453100158983,14.9443561208267,9.37996820349762,26.550079491256
"E01000926",698,37,127,144,72,22,107,5.30085959885387,18.1948424068768,20.6303724928367,10.3151862464183,3.15186246418338,15.3295128939828
"E01000927",734,37,141,156,83,22,124,5.0408719346049,19.2098092643052,21.2534059945504,11.3079019073569,2.99727520435967,16.8937329700272
"E01000928",682,40,136,186,85,34,132,5.86510263929619,19.941348973607,27.2727272727273,12.4633431085044,4.98533724340176,19.3548387096774
"E01000929",685,70,185,230,100,72,144,10.2189781021898,27.007299270073,33.5766423357664,14.5985401459854,10.5109489051095,21.021897810219
"E01000930",1076,65,427,186,93,34,301,6.04089219330855,39.6840148698885,17.2862453531599,8.64312267657993,3.15985130111524,27.9739776951673
"E01000931",873,68,254,213,108,43,198,7.78923253150057,29.0950744558992,24.3986254295533,12.3711340206186,4.92554410080183,22.680412371134
"E01000932",947,33,190,130,77,22,194,3.48468848996832,20.0633579725449,13.727560718057,8.13093980992608,2.32312565997888,20.4857444561774
