"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E00004483",284,284,0,0
"E00004484",299,299,0,0
"E00004485",274,274,0,0
"E00004486",276,276,0,0
"E00004487",213,213,0,0
"E00004488",211,211,0,0
"E00004489",284,284,0,0
"E00004490",247,247,0,0
"E00004491",301,301,0,0
"E00004492",325,325,0,0
"E00004493",229,229,0,0
"E00004494",393,385,8,0
"E00004495",256,256,0,0
"E00004496",343,343,0,0
"E00004497",260,260,0,0
"E00004498",332,332,0,0
"E00004499",393,393,0,0
"E00004500",169,169,0,0
"E00004501",116,116,0,0
"E00004502",254,254,0,0
"E00004503",209,209,0,0
"E00004504",352,352,0,0
"E00004505",291,291,0,0
"E00004506",286,286,0,0
"E00004507",259,259,0,0
"E00004508",292,292,0,0
"E00004509",328,328,0,0
"E00004510",303,303,0,0
"E00004511",339,339,0,0
"E00004512",269,262,7,0
"E00004513",273,273,0,0
"E00004514",284,284,0,0
"E00004515",259,256,3,0
"E00004516",357,357,0,0
"E00004517",268,268,0,0
"E00004518",247,247,0,0
"E00004519",274,274,0,0
"E00004520",259,259,0,0
"E00004521",259,259,0,0
"E00004522",197,197,0,0
"E00004523",548,548,0,0
"E00004524",367,367,0,0
"E00004525",254,254,0,0
"E00004526",593,237,356,0
"E00004527",234,167,67,0
"E00004528",327,327,0,0
"E00004529",447,447,0,0
"E00004530",229,229,0,0
"E00004531",293,293,0,0
"E00004532",324,324,0,0
"E00004534",236,236,0,0
"E00004535",205,197,8,0
"E00004536",233,233,0,0
"E00004537",165,163,2,0
"E00004538",193,193,0,0
"E00004539",133,133,0,0
"E00004540",365,354,11,0
"E00004541",219,219,0,0
"E00004542",360,360,0,0
"E00004543",214,214,0,0
"E00004544",286,286,0,0
"E00004545",451,451,0,0
"E00004546",224,224,0,0
"E00004547",406,338,68,0
"E00004548",208,208,0,0
"E00004549",288,288,0,0
"E00004550",389,389,0,0
"E00004551",428,418,10,0
"E00004552",317,317,0,0
"E00004553",301,268,33,0
"E00004554",406,405,1,0
"E00004555",327,327,0,0
"E00004556",301,301,0,0
"E00004557",177,177,0,0
"E00004558",277,277,0,0
"E00004559",503,365,138,0
"E00004560",227,227,0,0
"E00004561",268,268,0,0
"E00004562",272,272,0,0
"E00004563",579,569,10,0
"E00004564",297,297,0,0
"E00004565",309,298,11,0
"E00004566",284,284,0,0
"E00004567",385,385,0,0
"E00004568",359,359,0,0
"E00004569",325,325,0,0
"E00004570",316,316,0,0
"E00004571",333,333,0,0
"E00004572",382,382,0,0
"E00004573",335,329,6,0
"E00004574",372,372,0,0
"E00004575",342,339,3,0
"E00004576",354,354,0,0
"E00004577",334,294,40,0
"E00004578",283,283,0,0
"E00004579",253,253,0,0
"E00004580",301,301,0,0
"E00004581",236,236,0,0
"E00004582",279,279,0,0
"E00004583",373,352,21,0
"E00004584",367,367,0,0
"E00004585",260,260,0,0
"E00004586",247,247,0,0
"E00004587",264,264,0,0
"E00004588",322,322,0,0
"E00004589",277,277,0,0
"E00004590",215,215,0,0
"E00004591",262,262,0,0
"E00004592",197,197,0,0
"E00004593",525,525,0,0
"E00004594",255,255,0,0
"E00004595",315,257,58,0
"E00004596",226,226,0,0
"E00004597",585,585,0,0
"E00004598",242,242,0,0
"E00004599",311,311,0,0
"E00004600",345,345,0,0
"E00004601",289,289,0,0
"E00004602",252,252,0,0
"E00004603",358,358,0,0
"E00004604",262,254,8,0
"E00004605",279,279,0,0
"E00004606",376,376,0,0
"E00004607",188,188,0,0
"E00004608",347,347,0,0
"E00004609",404,404,0,0
"E00004610",265,265,0,0
"E00004611",192,192,0,0
"E00004612",299,299,0,0
"E00004613",246,246,0,0
"E00004614",527,527,0,0
"E00004615",210,210,0,0
"E00004616",269,269,0,0
"E00004617",211,211,0,0
"E00004618",245,232,13,0
"E00004619",243,243,0,0
"E00004620",255,255,0,0
"E00004621",297,297,0,0
"E00004622",405,405,0,0
"E00004623",335,335,0,0
"E00004624",275,275,0,0
"E00004625",338,338,0,0
"E00004626",395,393,2,0
"E00004627",186,186,0,0
"E00004628",230,230,0,0
"E00004629",223,223,0,0
"E00004630",188,188,0,0
"E00004631",247,247,0,0
"E00004632",227,227,0,0
"E00004633",336,261,75,0
"E00004634",283,283,0,0
"E00004635",299,299,0,0
"E00004636",266,266,0,0
"E00004637",239,239,0,0
"E00004638",308,308,0,0
"E00004639",205,205,0,0
"E00004640",336,336,0,0
"E00004641",364,364,0,0
"E00004642",344,344,0,0
"E00004643",353,353,0,0
"E00004644",369,369,0,0
"E00004645",172,172,0,0
"E00004646",268,252,16,0
"E00004647",371,367,4,0
"E00004649",227,227,0,0
"E00004650",327,324,3,0
"E00004651",159,159,0,0
"E00004652",237,237,0,0
"E00004653",151,151,0,0
"E00004654",141,141,0,0
"E00004655",464,326,138,0
"E00004656",402,396,6,0
"E00004658",318,292,26,0
"E00004659",404,404,0,0
"E00004660",351,340,11,0
"E00004661",268,268,0,0
"E00004662",288,272,16,0
"E00004663",361,361,0,0
"E00004664",358,347,11,0
"E00004665",260,249,11,0
"E00004666",426,303,123,0
"E00004667",207,207,0,0
"E00004668",171,171,0,0
"E00004669",293,293,0,0
"E00004670",251,251,0,0
"E00004671",470,470,0,0
"E00004672",223,223,0,0
"E00004673",282,282,0,0
"E00004674",240,240,0,0
"E00004675",232,232,0,0
"E00004676",967,176,791,0
"E00004677",325,325,0,0
"E00004678",334,327,7,0
"E00004679",180,180,0,0
"E00004680",263,203,60,0
"E00004681",293,293,0,0
"E00004682",165,165,0,0
"E00004683",173,173,0,0
"E00004684",320,320,0,0
"E00004685",321,321,0,0
"E00004686",310,310,0,0
"E00004687",245,245,0,0
"E00004688",411,411,0,0
"E00004689",323,323,0,0
"E00004690",229,229,0,0
"E00004691",478,478,0,0
"E00004692",432,432,0,0
"E00004693",361,361,0,0
"E00004694",285,241,44,0
"E00004695",459,459,0,0
"E00004696",348,348,0,0
"E00004697",295,295,0,0
"E00004699",161,161,0,0
"E00004700",280,280,0,0
"E00004701",306,296,10,0
"E00004702",265,265,0,0
"E00004703",298,278,20,0
"E00004704",374,359,15,0
"E00004705",351,351,0,0
"E00004706",426,412,14,0
"E00004707",455,455,0,0
"E00004708",200,193,7,0
"E00004709",388,388,0,0
"E00004710",311,311,0,0
"E00004711",298,297,1,0
"E00004712",324,324,0,0
"E00004713",164,164,0,0
"E00004714",282,251,31,0
"E00004715",311,261,50,0
"E00004716",318,318,0,0
"E00004717",183,183,0,0
"E00004718",316,316,0,0
"E00004719",423,423,0,0
"E00004720",232,227,5,0
"E00004721",338,338,0,0
"E00004722",294,294,0,0
"E00004723",264,264,0,0
"E00004724",324,324,0,0
"E00004725",403,403,0,0
"E00004726",234,225,9,0
"E00004727",322,322,0,0
"E00004728",563,563,0,0
"E00004729",256,256,0,0
"E00004730",160,160,0,0
"E00004731",323,323,0,0
"E00004732",417,417,0,0
"E00004733",246,246,0,0
"E00004734",343,343,0,0
"E00004735",274,274,0,0
"E00004736",257,257,0,0
"E00004738",261,261,0,0
"E00004739",274,274,0,0
"E00004740",306,306,0,0
"E00004741",315,315,0,0
"E00004742",459,459,0,0
"E00004743",396,396,0,0
"E00004744",331,331,0,0
"E00004745",286,286,0,0
"E00004746",314,314,0,0
"E00004747",330,330,0,0
"E00004748",344,344,0,0
"E00004749",528,527,1,0
"E00004750",447,364,83,0
"E00004751",240,240,0,0
"E00004752",331,331,0,0
"E00004753",308,308,0,0
"E00004754",302,302,0,0
"E00004755",260,260,0,0
"E00004756",259,259,0,0
"E00004757",334,334,0,0
"E00004758",232,232,0,0
"E00004759",233,233,0,0
"E00004760",195,195,0,0
"E00004761",358,358,0,0
"E00004762",347,275,72,0
"E00004763",223,223,0,0
