"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E01000879",1458,17,23,23,23,19,16,23,16,9,13,8,11,9,9,10,9,11,14,34,47,22,30,24,27,21,15,26,21,21,21,26,17,32,30,20,38,35,23,25,22,31,22,18,22,20,14,30,23,22,18,12,14,14,16,16,17,10,6,13,11,9,19,14,11,10,17,17,9,6,11,5,12,13,3,12,7,12,6,9,10,11,5,7,4,7,2,4,1,1,1,1,5,1,0,2,1,0,0,3,0,1
"E01000880",1602,32,31,33,32,28,20,32,15,15,31,21,20,16,27,26,11,15,9,18,6,7,4,8,10,7,9,24,19,19,32,30,27,34,24,19,20,55,33,44,34,34,33,30,29,32,40,28,30,25,17,15,13,24,23,17,9,7,10,15,14,10,14,13,15,14,11,12,10,10,3,13,12,6,2,7,6,5,8,10,2,4,10,10,3,7,6,9,4,1,4,0,4,5,0,4,1,4,1,0,0,0
"E01000881",1510,19,21,19,16,21,10,12,16,15,7,27,28,23,21,17,5,8,4,14,19,23,34,17,20,31,40,47,43,43,30,42,45,45,27,24,36,28,38,18,20,25,11,19,17,17,19,47,20,33,20,18,11,9,12,12,12,7,10,12,15,7,2,11,5,13,7,17,10,13,6,12,6,6,1,4,8,5,4,6,6,5,6,6,3,3,3,2,1,2,7,3,0,0,0,0,0,1,0,0,0,0
"E01000882",1513,16,27,18,18,16,18,14,18,17,16,16,12,13,13,6,6,9,6,2,5,11,8,10,17,15,16,31,37,42,45,35,42,46,35,30,29,29,36,36,30,34,30,32,43,22,25,20,18,30,24,14,14,23,13,16,8,13,13,18,15,22,10,13,10,8,9,14,17,9,14,8,9,14,6,8,5,9,3,10,7,4,9,2,2,7,1,3,3,0,1,0,1,1,1,0,1,0,1,0,0,0
"E01000883",1326,11,21,15,21,19,9,10,8,11,10,8,9,6,8,12,4,7,6,7,9,7,15,28,13,32,39,43,31,51,45,38,45,39,23,38,38,34,34,29,25,29,18,25,24,17,22,12,12,13,9,7,3,6,8,9,9,11,10,6,8,9,10,13,9,8,5,8,12,15,11,7,9,4,6,5,3,4,10,4,8,4,3,6,1,5,5,5,3,3,2,2,1,3,1,0,2,1,0,3,0,0
"E01000884",1469,25,27,25,19,21,18,21,25,16,20,31,22,22,13,16,16,16,16,14,10,7,10,13,17,22,19,17,17,20,19,21,21,21,14,22,19,25,35,20,31,34,25,25,35,29,24,16,26,22,19,18,25,10,21,18,20,17,9,10,18,20,14,10,15,22,23,11,13,10,5,6,12,12,5,11,7,3,4,7,2,5,7,4,12,2,10,3,4,1,2,1,1,0,0,0,1,0,0,0,0,0
"E01000885",1484,12,18,37,16,25,17,33,18,18,16,13,13,9,13,18,11,11,15,8,7,13,2,8,6,29,8,16,18,24,19,17,23,11,26,25,21,18,20,25,8,25,29,20,20,26,21,23,21,13,23,12,16,14,22,13,6,19,19,10,17,18,13,13,15,35,18,28,28,15,15,11,20,5,20,17,11,7,10,16,13,16,13,10,4,13,18,3,9,9,5,5,2,5,0,3,0,1,1,2,1,2
"E01000886",1445,21,21,16,21,14,14,21,17,15,21,16,18,15,11,12,19,22,13,8,8,8,8,7,20,28,23,20,23,28,35,21,34,31,29,23,21,26,26,28,33,26,21,29,23,24,18,36,24,13,13,29,22,20,20,18,13,12,11,18,16,16,14,15,16,13,11,16,11,13,10,9,3,15,10,11,10,9,5,2,2,3,2,1,6,3,3,7,2,1,1,0,2,0,0,2,0,0,0,0,0,0
"E01000887",1486,25,14,13,22,10,17,19,12,10,14,14,10,8,15,7,12,9,15,7,7,9,8,12,19,30,34,39,42,42,54,50,51,38,47,45,21,35,35,20,20,28,16,22,24,26,23,25,10,19,11,12,22,19,17,16,17,10,10,10,7,14,11,18,14,14,9,14,13,9,5,5,9,8,3,11,7,5,3,4,5,4,4,6,6,3,1,6,3,1,3,3,1,4,0,0,2,2,1,0,0,0
"E01000888",1605,18,32,18,30,25,17,23,12,21,22,21,16,18,20,13,20,14,15,33,16,10,18,9,19,19,37,27,25,28,26,40,23,29,38,26,38,23,15,23,34,36,34,29,31,25,21,20,23,24,22,18,20,25,20,17,18,15,20,23,9,14,23,17,14,14,9,15,15,7,7,7,7,7,10,3,6,6,9,11,5,6,10,4,3,4,1,2,3,0,2,1,0,0,0,1,0,0,1,0,0,0
