"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0006","KS403EW0007","KS403EW0008","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E00004202",160,3,157,139,4,1.06875,1.9,1.04375,1.875,98.125,86.875,2.5
"E00004203",164,9,155,52,11,1.94512195121951,4.08536585365854,2.06707317073171,5.48780487804878,94.5121951219512,31.7073170731707,6.70731707317073
"E00004204",149,4,145,30,7,1.85906040268456,3.95973154362416,1.87248322147651,2.68456375838926,97.3154362416107,20.1342281879195,4.69798657718121
"E00004205",145,2,143,36,8,2.42758620689655,5.04827586206897,2.49655172413793,1.37931034482759,98.6206896551724,24.8275862068966,5.51724137931035
"E00004206",127,1,126,38,25,2.44094488188976,4.11023622047244,2.18110236220472,0.78740157480315,99.2125984251969,29.9212598425197,19.6850393700787
"E00004207",128,7,121,41,21,2.8515625,4.234375,2.4609375,5.46875,94.53125,32.03125,16.40625
"E00004208",125,0,125,54,25,2.424,3.976,2.104,0,100,43.2,20
"E00004209",113,7,106,31,12,2.39823008849558,4.15929203539823,2.25663716814159,6.19469026548673,93.8053097345133,27.4336283185841,10.6194690265487
"E00004210",126,0,126,46,24,2.56349206349206,3.85714285714286,2.05555555555556,0,100,36.5079365079365,19.047619047619
"E00004211",124,0,124,55,15,2.46774193548387,3.87096774193548,2.21774193548387,0,100,44.3548387096774,12.0967741935484
"E00004212",134,3,131,42,18,2.46268656716418,4.37313432835821,2.27611940298507,2.23880597014925,97.7611940298508,31.3432835820896,13.4328358208955
"E00004213",167,7,160,61,36,2.73053892215569,4.36526946107784,2.39520958083832,4.19161676646707,95.8083832335329,36.5269461077844,21.5568862275449
"E00004214",243,5,238,95,22,2.1440329218107,3.53909465020576,1.92181069958848,2.05761316872428,97.9423868312757,39.0946502057613,9.05349794238683
"E00004215",129,3,126,19,5,2.08527131782946,4.76744186046512,2.44961240310078,2.32558139534884,97.6744186046512,14.7286821705426,3.87596899224806
"E00004216",146,3,143,23,5,2.04794520547945,4.99315068493151,2.3972602739726,2.05479452054794,97.9452054794521,15.7534246575342,3.42465753424658
"E00004217",141,6,135,50,10,1.73049645390071,3.56028368794326,1.81560283687943,4.25531914893617,95.7446808510638,35.4609929078014,7.09219858156028
"E00004218",131,2,129,32,15,2.32824427480916,4.37404580152672,2.45038167938931,1.52671755725191,98.4732824427481,24.4274809160305,11.4503816793893
"E00004219",190,13,177,92,28,1.92631578947368,3.28947368421053,1.70526315789474,6.8421052631579,93.1578947368421,48.4210526315789,14.7368421052632
"E00004220",87,0,87,22,10,1.95402298850575,3.72413793103448,1.83908045977011,0,100,25.2873563218391,11.4942528735632
"E00004221",111,1,110,29,2,2.09009009009009,4.0990990990991,1.99099099099099,0.900900900900901,99.0990990990991,26.1261261261261,1.8018018018018
"E00004222",109,5,104,43,5,1.93577981651376,3.77981651376147,1.94495412844037,4.58715596330275,95.4128440366973,39.4495412844037,4.58715596330275
"E00004223",116,1,115,46,28,2.76724137931034,4.12068965517241,2.18103448275862,0.862068965517241,99.1379310344828,39.6551724137931,24.1379310344828
"E00004224",147,13,134,50,7,1.9047619047619,3.84353741496599,1.91836734693878,8.84353741496599,91.156462585034,34.0136054421769,4.76190476190476
"E00004225",195,13,182,115,24,1.97948717948718,3.05128205128205,1.80512820512821,6.66666666666667,93.3333333333333,58.974358974359,12.3076923076923
"E00004226",119,8,111,13,2,2.15126050420168,5.83193277310924,2.94957983193277,6.72268907563025,93.2773109243697,10.9243697478992,1.68067226890756
"E00004227",145,2,143,33,12,1.86896551724138,4.07586206896552,1.97241379310345,1.37931034482759,98.6206896551724,22.7586206896552,8.27586206896552
"E00004228",107,6,101,43,4,1.90654205607477,4.58878504672897,2.06542056074766,5.60747663551402,94.392523364486,40.1869158878505,3.73831775700935
"E00004229",174,10,164,50,7,1.82758620689655,3.41379310344828,1.76436781609195,5.74712643678161,94.2528735632184,28.735632183908,4.02298850574713
"E00004230",130,5,125,50,18,2.17692307692308,3.72307692307692,1.91538461538462,3.84615384615385,96.1538461538462,38.4615384615385,13.8461538461538
"E00004231",142,3,139,34,9,2.30985915492958,5.07746478873239,2.64084507042254,2.11267605633803,97.887323943662,23.943661971831,6.33802816901408
"E00004232",132,0,132,80,4,1.53030303030303,3.23484848484848,1.54545454545455,0,100,60.6060606060606,3.03030303030303
"E00004233",124,3,121,29,8,1.86290322580645,4.16935483870968,2.08870967741935,2.41935483870968,97.5806451612903,23.3870967741935,6.45161290322581
"E00004234",124,5,119,31,7,1.95161290322581,4.37096774193548,2.10483870967742,4.03225806451613,95.9677419354839,25,5.64516129032258
"E00004235",163,8,155,60,17,2,3.51533742331288,1.82822085889571,4.9079754601227,95.0920245398773,36.8098159509202,10.4294478527607
"E00004236",150,14,136,72,23,2.19333333333333,3.76666666666667,2.03333333333333,9.33333333333333,90.6666666666667,48,15.3333333333333
"E00004237",123,27,96,47,20,2.17073170731707,3.55284552845528,1.84552845528455,21.9512195121951,78.0487804878049,38.2113821138211,16.260162601626
