"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00004279",241,80,52,22,6,161,122,8,7,13,11
"E00004280",190,98,72,24,2,92,59,4,9,14,6
"E00004281",220,112,64,38,10,108,78,8,7,10,5
"E00004282",252,90,44,44,2,162,123,6,10,16,7
"E00004283",233,106,76,30,0,127,100,2,3,14,8
"E00004284",217,70,32,38,0,147,115,5,7,16,4
"E00004285",246,100,66,28,6,146,110,5,8,19,4
"E00004286",270,104,46,52,6,166,123,9,11,9,14
"E00004287",221,72,48,20,4,149,116,14,1,11,7
"E00004288",275,100,56,40,4,175,137,6,11,13,8
"E00004289",217,94,40,48,6,123,97,8,5,11,2
"E00004290",273,103,52,46,5,170,126,5,11,21,7
"E00004291",278,110,78,28,4,168,109,8,9,20,22
"E00004292",224,78,52,20,6,146,92,13,12,13,16
"E00004293",223,72,50,20,2,151,114,8,10,12,7
"E00004294",194,70,30,32,8,124,98,2,2,18,4
"E00004295",338,164,126,30,8,174,115,15,7,21,16
"E00004296",284,128,102,26,0,156,111,14,4,10,17
"E00004297",265,108,68,36,4,157,129,11,2,12,3
"E00004298",251,138,104,28,6,113,84,4,5,9,11
"E00004299",242,148,104,36,8,94,57,7,5,14,11
"E00004300",231,98,62,36,0,133,103,5,7,11,7
"E00004301",435,132,82,36,14,303,245,17,14,18,9
"E00004302",253,112,66,40,6,141,98,4,10,19,10
"E00004303",255,130,102,28,0,125,92,8,4,14,7
"E00004304",344,158,110,42,6,186,139,5,7,27,8
"E00004305",284,150,132,16,2,134,103,8,2,17,4
"E00004306",275,126,92,24,10,149,116,3,7,13,10
"E00004307",295,162,132,24,6,133,99,5,3,12,14
"E00004308",230,106,62,42,2,124,93,9,3,13,6
"E00004309",231,140,100,34,6,91,74,4,0,12,1
"E00004310",249,136,114,20,2,113,81,5,5,11,11
"E00004311",213,122,102,18,2,91,68,2,4,9,8
"E00004312",270,104,72,32,0,166,117,9,9,21,10
"E00004313",244,114,94,18,2,130,96,5,3,16,10
"E00004314",271,121,80,33,8,150,121,7,3,15,4
"E00004315",280,162,100,30,32,118,92,3,3,11,9
"E00004316",227,70,36,28,6,157,120,4,5,20,8
"E00004317",337,149,82,59,8,188,154,9,5,15,5
"E00004318",254,104,60,40,4,150,109,5,6,26,4
"E00004319",245,112,44,60,8,133,107,6,1,9,10
"E00004320",218,132,106,16,10,86,53,9,2,12,10
"E00004321",239,126,102,20,4,113,84,3,5,10,11
"E00004322",233,152,132,20,0,81,53,13,1,7,7
"E00004323",189,96,74,22,0,93,66,3,2,14,8
"E00004324",225,138,106,28,4,87,54,3,5,17,8
"E00004325",184,94,84,10,0,90,47,4,7,18,14
"E00004326",192,90,74,14,2,102,73,7,5,14,3
"E00004327",246,134,102,20,12,112,73,7,5,14,13
"E00004328",201,94,70,16,8,107,69,7,1,13,17
"E00004329",225,110,88,18,4,115,90,6,4,11,4
"E00004330",244,138,72,54,12,106,88,0,2,12,4
"E00004331",229,106,58,40,8,123,84,13,5,15,6
"E00004332",151,84,62,22,0,67,44,4,3,8,8
"E00004333",220,108,76,28,4,112,77,8,2,19,6
"E00004334",171,90,64,22,4,81,53,11,3,7,7
"E00004335",251,140,78,56,6,111,79,8,8,12,4
"E00004336",300,132,74,54,4,168,132,10,4,20,2
"E00004337",214,116,84,28,4,98,76,2,6,8,6
"E00004338",204,130,108,20,2,74,54,3,3,8,6
"E00004339",203,102,78,16,8,101,79,5,4,8,5
"E00004340",203,60,38,22,0,143,121,8,0,12,2
"E00004341",205,102,58,34,10,103,84,2,1,11,5
"E00004342",170,84,54,26,4,86,58,4,2,17,5
"E00004343",192,108,82,20,6,84,61,5,3,12,3
"E00004344",217,84,72,12,0,133,91,18,7,11,6
"E00004345",245,164,150,10,4,81,43,16,4,6,12
"E00004346",191,110,64,42,4,81,51,5,4,7,14
"E00004347",192,110,88,18,4,82,60,6,3,6,7
"E00004348",216,102,80,22,0,114,69,10,4,17,14
"E00004349",253,160,144,12,4,93,66,6,3,10,8
"E00004350",217,136,114,22,0,81,39,11,1,12,18
"E00004351",229,134,110,22,2,95,51,10,6,12,16
"E00004352",231,136,122,14,0,95,52,8,2,18,15
"E00004353",220,138,118,20,0,82,46,5,2,6,23
"E00004354",219,142,112,30,0,77,46,9,2,13,7
"E00004355",221,112,94,14,4,109,68,8,5,16,12
"E00004356",233,138,124,10,4,95,64,8,2,16,5
"E00004357",240,172,142,16,14,68,39,7,2,13,7
"E00004358",225,100,92,6,2,125,80,9,4,22,10
"E00004359",241,148,140,8,0,93,54,9,3,9,18
"E00004360",224,132,104,22,6,92,53,4,3,21,11
"E00004361",193,102,82,18,2,91,53,2,4,18,14
"E00004362",255,100,74,24,2,155,117,7,4,17,10
"E00004363",306,108,92,12,4,198,126,15,14,26,17
"E00004364",409,148,90,42,16,261,201,7,11,23,19
"E00004365",224,108,62,40,6,116,88,8,2,14,4
"E00004366",235,64,54,10,0,171,97,6,15,35,18
"E00004367",261,94,66,18,10,167,106,4,8,24,25
"E00004368",299,152,100,38,14,147,100,14,8,12,13
"E00004369",215,82,66,14,2,133,88,3,4,19,19
"E00004370",205,76,44,30,2,129,62,8,12,20,27
"E00004371",172,40,26,14,0,132,92,7,9,21,3
"E00004372",230,90,68,18,4,140,97,8,7,15,13
"E00004373",267,93,60,26,7,174,100,15,10,34,15
"E00004374",170,46,28,16,2,124,95,4,5,12,8
"E00004375",212,116,76,32,8,96,60,14,0,11,11
"E00004376",333,110,66,44,0,223,172,4,9,21,17
"E00004377",166,40,32,8,0,126,82,7,6,21,10
"E00004378",245,116,76,32,8,129,98,10,1,8,12
