"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E00004153",108,51,6,45,57,1,9,10,27,1,4,5
"E00004154",122,48,8,40,74,2,4,16,36,0,11,5
"E00004155",103,33,3,30,70,0,5,19,21,4,7,14
"E00004156",126,69,22,47,57,5,5,19,22,1,0,5
"E00004157",94,30,9,21,64,3,6,18,18,1,4,14
"E00004158",124,57,11,46,67,8,5,11,19,3,8,13
"E00004159",160,62,13,49,98,25,14,15,11,4,18,11
"E00004160",103,46,35,11,57,12,12,5,10,3,2,13
"E00004161",96,37,12,25,59,3,7,7,23,4,1,14
"E00004162",128,56,5,51,72,1,5,16,38,2,3,7
"E00004163",163,59,13,46,104,11,8,21,34,7,9,14
"E00004164",160,62,19,43,98,18,12,12,14,8,12,22
"E00004165",146,57,18,39,89,14,14,16,15,4,10,16
"E00004166",157,57,20,37,100,19,11,14,14,11,16,15
"E00004167",99,20,10,10,79,3,16,20,11,7,7,15
"E00004168",109,58,21,37,51,0,7,15,20,1,0,8
"E00004169",149,70,19,51,79,1,9,8,30,0,2,29
"E00004172",148,85,9,76,63,4,6,4,38,1,0,10
"E00004173",127,83,35,48,44,0,13,4,17,0,1,9
"E00004174",131,68,22,46,63,5,4,8,9,2,4,31
"E00004175",128,73,19,54,55,8,3,4,20,2,1,17
"E00004177",74,53,9,44,21,0,5,2,10,0,0,4
"E00004179",190,113,58,55,77,9,18,7,19,5,4,15
"E00004180",128,58,11,47,70,20,3,4,20,0,2,21
"E00004181",212,127,81,46,85,9,31,8,18,4,4,11
"E00004182",76,39,13,26,37,1,1,5,14,2,5,9
"E00004183",106,59,15,44,47,10,2,5,16,2,3,9
"E00004184",112,56,16,40,56,5,10,8,18,0,3,12
"E00004185",171,71,13,58,100,24,3,3,22,5,3,40
"E00004187",226,95,12,83,131,3,10,8,58,2,8,42
"E00004188",109,65,7,58,44,0,6,2,17,1,0,18
"E00004189",118,45,4,41,73,0,2,5,26,0,0,40
"E00004190",384,313,71,242,71,0,14,2,46,0,0,9
"E00004193",119,50,12,38,69,1,8,6,27,0,2,25
"E00004194",144,79,14,65,65,4,4,3,35,1,2,16
"E00004195",133,50,16,34,83,2,3,3,37,3,3,32
"E00004196",101,50,26,24,51,0,11,3,18,1,5,13
"E00004197",116,45,17,28,71,0,11,5,29,0,1,25
"E00004198",182,87,12,75,95,0,4,6,47,1,2,35
"E00004199",163,89,14,75,74,2,5,13,35,0,2,17
"E00004200",136,75,13,62,61,2,2,2,33,1,3,18
"E00004201",144,69,18,51,75,4,18,14,26,3,4,6
"E00004202",160,153,94,59,7,1,4,0,0,0,0,2
"E00004203",164,65,9,56,99,5,12,6,49,1,1,25
"E00004204",149,58,17,41,91,2,22,14,42,2,3,6
"E00004205",145,36,7,29,109,2,11,22,40,3,8,23
"E00004206",127,48,18,30,79,11,6,12,13,3,9,25
