"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E02000181",4816,794,1890,1123,361,109,159,182,53,145,16.4867109634551,39.2441860465116,23.3181063122924,7.49584717607973,2.26328903654485,3.3014950166113,3.77906976744186,1.10049833887043,3.01079734219269
"E02000182",3085,651,938,658,250,111,148,108,59,162,21.1021069692058,30.4051863857374,21.3290113452188,8.10372771474878,3.59805510534846,4.79740680713128,3.50081037277147,1.91247974068071,5.25121555915721
"E02000183",4242,815,1420,1008,272,143,201,149,73,161,19.2126355492692,33.4747760490335,23.7623762376238,6.41206977840641,3.37105139085337,4.73833097595474,3.51249410655351,1.72088637435172,3.7953795379538
"E02000184",3970,387,1032,751,418,236,265,294,156,431,9.74811083123426,25.9949622166247,18.9168765743073,10.5289672544081,5.94458438287154,6.67506297229219,7.40554156171285,3.92947103274559,10.8564231738035
"E02000185",3749,414,935,728,352,234,305,290,124,367,11.0429447852761,24.9399839957322,19.4185116030942,9.38917044545212,6.24166444385169,8.13550280074687,7.73539610562817,3.30754867964791,9.78927714057082
"E02000186",3582,539,1081,830,274,170,190,195,76,227,15.0474595198213,30.178671133445,23.1714126186488,7.64935790061418,4.74595198213289,5.30429927414852,5.44388609715243,2.12171970965941,6.33724176437744
"E02000187",2884,216,511,389,340,209,294,311,169,445,7.48959778085992,17.7184466019417,13.4882108183079,11.7891816920943,7.24687933425797,10.1941747572816,10.7836338418863,5.85991678224688,15.4299583911234
"E02000188",2962,252,623,435,326,195,262,313,187,369,8.50776502363268,21.0330857528697,14.6860229574612,11.0060769750169,6.58338960162053,8.84537474679271,10.5671843349088,6.31330182309251,12.457798784605
"E02000189",2198,196,568,388,301,126,126,205,57,231,8.9171974522293,25.8416742493176,17.6524112829845,13.6942675159236,5.73248407643312,5.73248407643312,9.32666060054595,2.59326660600546,10.5095541401274
"E02000190",2804,283,887,486,288,157,183,197,73,250,10.09272467903,31.6333808844508,17.3323823109843,10.2710413694722,5.59914407988588,6.52639087018545,7.02567760342368,2.60342368045649,8.91583452211127
"E02000191",3089,355,1105,661,256,91,151,200,32,238,11.4923923599871,35.7720945289738,21.3985108449336,8.2874716736808,2.94593719650372,4.88831337002266,6.47458724506313,1.0359339592101,7.70475882162512
"E02000192",3467,450,1008,759,302,182,224,222,102,218,12.9795211998846,29.0741274877416,21.8921257571387,8.71070089414479,5.24949524084223,6.46091721949812,6.40323045860975,2.94202480530718,6.287856936833
"E02000193",4108,574,1358,900,336,153,201,223,43,320,13.9727361246349,33.0574488802337,21.9084712755599,8.17916260954236,3.72444011684518,4.89289191820837,5.4284323271665,1.04673807205453,7.78967867575463
