"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E00004332",87,7,28,46,5,1
"E00004333",133,30,41,50,11,1
"E00004334",106,13,26,63,3,1
"E00004335",145,29,52,58,6,0
"E00004336",175,12,48,105,10,0
"E00004337",114,16,40,50,6,2
"E00004338",112,22,43,41,6,0
"E00004339",112,9,38,55,10,0
"E00004340",95,17,22,44,9,3
"E00004341",132,21,38,60,10,3
"E00004342",94,11,30,45,6,2
"E00004343",120,16,41,59,4,0
"E00004344",118,16,46,47,6,3
"E00004345",121,64,39,16,2,0
"E00004346",94,44,27,21,2,0
"E00004347",97,49,22,20,5,1
"E00004348",131,40,30,53,6,2
"E00004349",117,60,29,24,4,0
"E00004350",125,36,49,37,3,0
"E00004351",131,55,54,20,2,0
"E00004352",118,48,45,24,1,0
"E00004353",137,37,76,23,1,0
"E00004354",108,47,31,27,1,2
"E00004355",122,36,32,47,6,1
"E00004356",121,35,43,39,4,0
"E00004357",118,43,43,23,9,0
"E00004358",114,29,39,36,8,2
"E00004359",121,60,32,26,3,0
"E00004360",118,26,50,36,6,0
"E00004361",99,38,28,28,4,1
"E00004362",127,14,30,61,19,3
"E00004363",153,32,21,68,27,5
"E00004364",225,21,44,118,39,3
"E00004365",139,18,32,83,5,1
"E00004366",165,6,16,121,20,2
"E00004367",148,5,49,67,20,7
"E00004368",175,33,41,86,15,0
"E00004369",123,21,33,55,14,0
"E00004370",117,19,14,71,9,4
"E00004371",103,3,11,62,22,5
"E00004372",109,31,17,49,11,1
"E00004373",146,17,24,77,25,3
"E00004374",97,4,16,53,21,3
"E00004375",119,18,40,52,9,0
"E00004376",176,21,37,101,12,5
"E00004377",95,9,13,52,18,3
"E00004378",137,19,52,57,7,2
"E00004379",135,21,66,43,5,0
"E00004380",152,8,23,98,21,2
"E00004381",117,26,37,45,8,1
"E00004382",139,24,39,70,5,1
"E00004383",103,25,29,44,5,0
"E00004384",101,12,32,44,12,1
"E00004385",91,22,30,31,3,5
"E00004386",101,24,27,41,9,0
"E00004387",89,15,24,43,7,0
"E00004388",99,27,30,38,3,1
"E00004389",108,20,35,45,8,0
"E00004390",113,25,33,48,4,3
"E00004391",128,41,27,55,5,0
"E00004392",95,35,33,19,6,2
"E00004393",113,14,31,48,19,1
"E00004394",94,3,30,50,11,0
"E00004395",133,19,25,72,16,1
"E00004396",131,9,24,77,18,3
"E00004397",106,12,21,50,19,4
"E00004398",99,14,32,41,11,1
"E00004399",131,14,37,46,31,3
"E00004400",180,13,10,123,31,3
"E00004401",128,40,39,44,4,1
"E00004402",127,34,32,55,5,1
"E00004403",128,52,43,33,0,0
"E00004404",116,50,32,32,2,0
"E00004405",128,41,50,34,3,0
"E00004406",117,34,47,31,5,0
"E00004407",118,49,40,28,1,0
"E00004408",106,52,27,26,0,1
"E00004409",108,21,27,52,7,1
"E00004410",120,29,45,39,6,1
"E00004411",114,21,29,54,7,3
"E00004412",128,27,39,59,2,1
"E00004413",101,27,36,35,3,0
"E00004414",123,29,37,48,9,0
"E00004415",139,25,53,55,6,0
"E00004416",114,31,31,46,6,0
"E00004417",125,53,35,33,4,0
"E00004418",114,25,37,45,6,1
"E00004419",126,10,39,71,6,0
"E00004420",112,45,30,30,6,1
"E00004421",123,50,40,32,1,0
"E00004422",92,13,26,51,2,0
"E00004423",122,24,48,48,1,1
"E00004424",117,22,40,49,6,0
"E00004425",140,45,42,45,8,0
"E00004426",143,33,37,65,7,1
"E00004427",117,66,33,18,0,0
"E00004428",131,11,49,63,7,1
"E00004429",127,22,34,63,8,0
"E00004430",125,3,10,103,5,4
"E00004431",106,36,39,29,2,0
"E00004432",135,28,40,61,5,1
"E00004433",139,27,56,49,5,2
"E00004435",119,11,11,79,14,4
"E00004436",166,49,43,68,6,0
"E00004437",116,31,37,46,1,1
"E00004438",118,13,25,76,4,0
"E00004439",113,39,49,24,1,0
"E00004440",112,15,55,39,3,0
"E00004441",115,23,31,53,7,1
"E00004442",109,5,18,74,7,5
"E00004444",160,3,18,92,38,9
"E00004445",105,12,21,62,6,4
"E00004446",118,15,30,55,15,3
"E00004447",77,1,16,58,2,0
"E00004448",142,18,27,75,17,5
"E00004450",175,18,33,106,15,3
"E00004451",118,11,42,45,19,1
"E00004452",143,11,41,78,10,3
"E00004453",144,32,35,57,16,4
"E00004454",189,7,41,99,36,6
"E00004455",123,12,22,53,33,3
"E00004456",124,12,37,54,18,3
"E00004457",117,16,54,42,5,0
"E00004458",182,19,58,81,23,1
"E00004459",154,2,24,91,33,4
"E00004460",100,8,16,57,18,1
"E00004461",131,7,28,55,30,11
"E00004462",114,22,34,52,6,0
"E00004463",139,6,25,72,28,8
"E00004464",89,2,3,76,6,2
"E00004465",166,15,44,78,26,3
"E00004466",121,5,28,77,9,2
"E00004467",133,19,24,69,17,4
"E00004468",143,12,38,61,26,6
"E00004469",122,24,50,41,7,0
