"GeographyCode","KS301EW0001","KS301EW0002","KS301EW0003","KS301EW0004","KS301EW0005","KS301EW0006","KS301EW0007","KS301EW0008","KS301EW0009","KS301EW0010","KS301EW0011","KS301EW0012","KS301EW0013","KS301EW0014","KS301EW0015","KS301EW0016","KS301EW0017","KS301EW0018","KS301EW0019","KS301EW0020","KS301EW0021","KS301EW0022","KS301EW0023","KS301EW0024","KS301EW0025","KS301EW0026","KS301EW0027","KS301EW0028","KS301EW0029","KS301EW0030","KS301EW0031"
"E02000176",6373,274,348,5751,153,166,4390,3780,1901,512,140,40,6002,284,36,51,4.2993880433077,5.46053663894555,90.2400753177467,2.40075317746744,2.60473874156598,68.8843558763534,59.3127255609603,29.828965950102,8.03389298603484,2.1967676133689,0.627647889533971,94.1785658245724,4.4563000156912,0.564883100580574,0.800251059155814
"E02000177",8948,831,827,7290,484,477,5233,4321,2798,1145,511,173,8166,488,117,177,9.2869915064819,9.24228877961556,81.4707197139026,5.409029950827,5.33080017881091,58.4823424228878,48.2901206973625,31.269557443004,12.7961555654895,5.71077335717479,1.93339293696916,91.2606168976308,5.45373267769334,1.30755476084041,1.97809566383549
"E02000178",8857,779,720,7358,476,455,5900,4397,2829,990,475,166,8177,403,122,155,8.79530315005081,8.1291633736028,83.0755334763464,5.3742802303263,5.13717963192955,66.6139776448007,49.6443491024049,31.9408377554477,11.1775996387038,5.36298972564074,1.87422377780287,92.3224568138196,4.55007338828046,1.37744157163825,1.75002822626171
"E02000179",6329,405,374,5550,204,222,3827,3564,1858,597,240,70,5866,309,69,85,6.39911518407331,5.90930636751462,87.6915784484121,3.22325801864434,3.50766313793648,60.4676884183915,56.3122136198452,29.3569284247116,9.43276978985622,3.79206825722863,1.10601990835835,92.6844683204298,4.88228788118186,1.09021962395323,1.34302417443514
"E02000180",8202,553,597,7052,333,381,5469,4261,2610,852,382,97,7558,425,107,112,6.74225798585711,7.27871250914411,85.9790295049988,4.05998536942209,4.64520848573519,66.6788588149232,51.9507437210436,31.8215069495245,10.3877103145574,4.65740063399171,1.18263838088271,92.1482565227993,5.18166300902219,1.30455986344794,1.36552060473055
"E02000181",7708,381,404,6923,207,240,5500,4593,2278,578,190,69,7228,350,58,72,4.9429164504411,5.24130773222626,89.8157758173326,2.68552153606642,3.11364815775817,71.3544369486248,59.587441619097,29.5537104307213,7.49870264660093,2.46497145822522,0.895173845355475,93.7727036844836,4.54073689673067,0.752464971458225,0.934094447327452
"E02000182",6697,436,470,5791,183,225,4117,3602,2092,707,220,76,6213,319,70,95,6.51037778109601,7.01806779154845,86.4715544273555,2.73256682096461,3.35971330446469,61.4752874421383,53.7852769896969,31.2378677019561,10.5569658055846,3.28505300880992,1.13483649395252,92.7728833806182,4.76332686277438,1.04524413916679,1.41854561744065
"E02000183",7913,544,595,6774,316,334,4921,4405,2271,796,334,107,7175,531,104,103,6.87476304814862,7.51927208391255,85.6059648679388,3.99342853532162,4.22090231265007,62.1888032351826,55.6678882851005,28.6996082396057,10.0593959307469,4.22090231265007,1.35220523189688,90.6735751295337,6.71047643118918,1.31429293567547,1.30165550360167
"E02000184",8882,735,728,7419,473,498,5702,4314,2906,1073,428,161,8123,469,112,178,8.27516325151993,8.19635217293402,83.528484575546,5.32537716730466,5.60684530511146,64.197252870975,48.5701418599415,32.7178563386625,12.0806124746679,4.81873451925242,1.81265480747579,91.4546273361856,5.28034226525557,1.26097725737447,2.00405314118442
"E02000185",8290,813,752,6725,441,459,4782,3908,2643,1096,477,166,7625,403,118,144,9.80699638118215,9.07117008443908,81.1218335343788,5.31966224366707,5.53679131483715,57.6839565741858,47.1411338962606,31.8817852834741,13.2207478890229,5.75392038600724,2.00241254523522,91.978287092883,4.86127864897467,1.42340168878166,1.73703256936068
"E02000186",6687,479,512,5696,305,329,4576,3698,1994,614,283,98,6195,328,78,86,7.16315238522506,7.65664722596082,85.1802003888141,4.56108867952744,4.91999401824435,68.4312845820248,55.3013309406311,29.8190518917302,9.1819949155077,4.23209211903694,1.46553013309406,92.6424405563033,4.90503962913115,1.16644235082997,1.28607746373561
"E02000187",8155,862,747,6546,488,456,4595,3674,2582,1149,538,212,7404,412,135,204,10.570202329859,9.16002452483139,80.2697731453096,5.98405885959534,5.59166155732679,56.3458001226242,45.0521152667075,31.6615573267934,14.08951563458,6.59717964438994,2.59963212752912,90.790925812385,5.05211526670754,1.65542611894543,2.50153280196199
"E02000188",8322,645,720,6957,358,470,5256,4213,2557,1028,387,137,7666,364,130,162,7.75054073540014,8.65176640230714,83.5976928622927,4.30185051670272,5.64768084595049,63.1578947368421,50.6248497957222,30.7257870704158,12.3527998077385,4.65032444124009,1.64623888488344,92.1172795001202,4.37394857005527,1.56212448930546,1.94664744051911
"E02000189",5944,389,440,5115,239,294,3823,3216,1732,652,256,88,5539,243,65,97,6.54441453566622,7.40242261103634,86.0531628532974,4.02086137281292,4.94616419919246,64.3169582772544,54.1049798115747,29.1386271870794,10.9690444145357,4.30686406460296,1.48048452220727,93.1864064602961,4.08815612382234,1.0935397039031,1.63189771197847
"E02000190",7530,560,608,6362,371,377,5237,3843,2384,861,315,127,7054,323,52,101,7.43691899070385,8.07436918990704,84.4887118193891,4.9269588313413,5.0066401062417,69.5484727755644,51.0358565737052,31.660026560425,11.4342629482072,4.18326693227092,1.68658698539177,93.6786188579017,4.28950863213811,0.690571049136786,1.34130146082337
"E02000191",7497,315,407,6775,199,272,5996,4422,2237,566,191,81,7076,328,38,55,4.20168067226891,5.42883820194745,90.3694811257837,2.65439509136988,3.6281179138322,79.9786581299186,58.9835934373749,29.8386021075097,7.54968654128318,2.54768574096305,1.08043217286915,94.3844204348406,4.37508336668001,0.50686941443244,0.733626784046952
"E02000192",7157,574,628,5955,353,419,4547,3551,2233,857,386,130,6577,346,111,123,8.02012016207908,8.77462624004471,83.2052535978762,4.93223417633086,5.85440827162219,63.5322062316613,49.6157607936286,31.2002235573564,11.9742909040101,5.39332122397653,1.81640352102836,91.8960458292581,4.83442783289088,1.55092916026268,1.71859717758838
"E02000193",7630,436,613,6581,287,403,5600,4049,2420,803,277,81,7116,378,67,69,5.71428571428571,8.03407601572739,86.2516382699869,3.76146788990826,5.28178243774574,73.394495412844,53.0668414154653,31.7169069462647,10.524246395806,3.63040629095675,1.06159895150721,93.2634338138925,4.95412844036697,0.878112712975098,0.9043250327654
