"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01000879",17,7,5,5,2,0,2,0,15,7,3,5,41.1764705882353,29.4117647058824,29.4117647058824,11.7647058823529,0,11.7647058823529,0,88.2352941176471,41.1764705882353,17.6470588235294,29.4117647058824
"E01000880",20,7,6,7,2,1,1,0,18,6,5,7,35,30,35,10,5,5,0,90,30,25,35
"E01000881",18,5,3,10,1,0,1,0,17,5,2,10,27.7777777777778,16.6666666666667,55.5555555555556,5.55555555555556,0,5.55555555555556,0,94.4444444444444,27.7777777777778,11.1111111111111,55.5555555555556
"E01000882",15,5,6,4,0,0,0,0,15,5,6,4,33.3333333333333,40,26.6666666666667,0,0,0,0,100,33.3333333333333,40,26.6666666666667
"E01000883",15,5,1,9,0,0,0,0,15,5,1,9,33.3333333333333,6.66666666666667,60,0,0,0,0,100,33.3333333333333,6.66666666666667,60
"E01000884",21,6,7,8,1,0,1,0,20,6,6,8,28.5714285714286,33.3333333333333,38.0952380952381,4.76190476190476,0,4.76190476190476,0,95.2380952380952,28.5714285714286,28.5714285714286,38.0952380952381
"E01000885",22,7,7,8,5,0,2,3,17,7,5,5,31.8181818181818,31.8181818181818,36.3636363636364,22.7272727272727,0,9.09090909090909,13.6363636363636,77.2727272727273,31.8181818181818,22.7272727272727,22.7272727272727
"E01000886",45,13,9,23,6,0,0,6,39,13,9,17,28.8888888888889,20,51.1111111111111,13.3333333333333,0,0,13.3333333333333,86.6666666666667,28.8888888888889,20,37.7777777777778
"E01000887",33,5,9,19,4,0,1,3,29,5,8,16,15.1515151515152,27.2727272727273,57.5757575757576,12.1212121212121,0,3.03030303030303,9.09090909090909,87.8787878787879,15.1515151515152,24.2424242424242,48.4848484848485
"E01000888",36,8,12,16,1,0,0,1,35,8,12,15,22.2222222222222,33.3333333333333,44.4444444444444,2.77777777777778,0,0,2.77777777777778,97.2222222222222,22.2222222222222,33.3333333333333,41.6666666666667
