"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E00004175",262,63,18,32,4,38,81,26,2,36,4,1,31,24.0458015267176,6.87022900763359,12.2137404580153,1.52671755725191,14.5038167938931,30.9160305343511,9.9236641221374,0.763358778625954,13.7404580152672,1.52671755725191,0.381679389312977,11.8320610687023
"E00004177",293,4,7,12,0,137,101,32,1,208,36,18,154,1.36518771331058,2.38907849829352,4.09556313993174,0,46.7576791808874,34.4709897610922,10.9215017064846,0.341296928327645,70.9897610921502,12.2866894197952,6.14334470989761,52.5597269624573
"E00004179",283,71,29,27,1,26,92,37,6,25,2,1,21,25.0883392226148,10.2473498233216,9.54063604240283,0.353356890459364,9.18727915194346,32.5088339222615,13.0742049469965,2.12014134275618,8.8339222614841,0.706713780918728,0.353356890459364,7.42049469964664
"E00004180",211,19,9,8,0,43,120,12,1,66,4,5,57,9.00473933649289,4.2654028436019,3.7914691943128,0,20.3791469194313,56.8720379146919,5.68720379146919,0.4739336492891,31.2796208530806,1.8957345971564,2.3696682464455,27.0142180094787
"E00004181",312,95,21,25,5,30,99,37,1,21,5,2,14,30.4487179487179,6.73076923076923,8.01282051282051,1.6025641025641,9.61538461538462,31.7307692307692,11.8589743589744,0.32051282051282,6.73076923076923,1.6025641025641,0.641025641025641,4.48717948717949
"E00004182",150,19,9,11,0,24,74,13,3,30,2,0,28,12.6666666666667,6,7.33333333333333,0,16,49.3333333333333,8.66666666666667,2,20,1.33333333333333,0,18.6666666666667
"E00004183",165,37,25,17,1,17,53,15,6,10,5,1,4,22.4242424242424,15.1515151515152,10.3030303030303,0.606060606060606,10.3030303030303,32.1212121212121,9.09090909090909,3.63636363636364,6.06060606060606,3.03030303030303,0.606060606060606,2.42424242424242
"E00004184",185,40,12,12,1,36,62,22,3,28,4,0,24,21.6216216216216,6.48648648648649,6.48648648648649,0.540540540540541,19.4594594594595,33.5135135135135,11.8918918918919,1.62162162162162,15.1351351351351,2.16216216216216,0,12.972972972973
"E00004185",317,31,13,21,0,73,141,38,2,106,8,10,88,9.77917981072555,4.10094637223975,6.62460567823344,0,23.0283911671924,44.4794952681388,11.98738170347,0.630914826498423,33.4384858044164,2.52365930599369,3.15457413249211,27.7602523659306
"E00004187",438,29,11,16,1,98,226,57,2,132,27,4,101,6.62100456621005,2.51141552511416,3.65296803652968,0.228310502283105,22.3744292237443,51.5981735159817,13.013698630137,0.45662100456621,30.1369863013699,6.16438356164384,0.91324200913242,23.0593607305936
"E00004188",177,7,1,6,0,46,101,16,1,71,2,6,63,3.95480225988701,0.564971751412429,3.38983050847458,0,25.9887005649718,57.0621468926554,9.03954802259887,0.564971751412429,40.1129943502825,1.12994350282486,3.38983050847458,35.5932203389831
"E00004189",309,7,7,5,1,125,146,18,1,200,11,13,176,2.26537216828479,2.26537216828479,1.61812297734628,0.323624595469256,40.453074433657,47.2491909385113,5.8252427184466,0.323624595469256,64.7249190938511,3.55987055016181,4.20711974110032,56.957928802589
