UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
595739,1060000,12/01/2015 0:00,DYNHAM ROAD,CAMDEN,GREATER LONDON,NW62NR,525278,184319
592985,1055000,12/18/2015 0:00,HOPKINSONS PLACE,CAMDEN,GREATER LONDON,NW18TN,528038,183933
595375,1055000,09/10/2015 0:00,MARSDEN STREET,CAMDEN,GREATER LONDON,NW53HD,528358,184789
595383,1055000,10/27/2015 0:00,ST LEONARDS SQUARE,CAMDEN,GREATER LONDON,NW53HL,528370,184718
594173,1052000,02/20/2015 0:00,ETON AVENUE,CAMDEN,GREATER LONDON,NW33HJ,526968,184468
592947,1050000,12/21/2015 0:00,GLOUCESTER AVENUE,CAMDEN,GREATER LONDON,NW18HX,528106,184158
593015,1050000,03/17/2015 0:00,CAMDEN MEWS,CAMDEN,GREATER LONDON,NW19DA,529538,184534
594314,1050000,09/04/2015 0:00,HOWITT ROAD,CAMDEN,GREATER LONDON,NW34LT,527331,184975
594353,1050000,05/15/2015 0:00,STEELES ROAD,CAMDEN,GREATER LONDON,NW34SE,527716,184534
594615,1050000,11/10/2015 0:00,FINCHLEY ROAD,CAMDEN,GREATER LONDON,NW37BG,525310,185587
594616,1050000,11/10/2015 0:00,FINCHLEY ROAD,CAMDEN,GREATER LONDON,NW37BG,525310,185587
595450,1050000,06/12/2015 0:00,GRAFTON TERRACE,CAMDEN,GREATER LONDON,NW54JJ,528064,185070
595453,1050000,05/29/2015 0:00,QUADRANT GROVE,CAMDEN,GREATER LONDON,NW54JP,527983,185083
595502,1050000,01/09/2015 0:00,HOLMDALE ROAD,CAMDEN,GREATER LONDON,NW61BP,525310,185030
595550,1050000,09/02/2015 0:00,CREDITON HILL,CAMDEN,GREATER LONDON,NW61HR,525659,185206
595719,1050000,09/18/2015 0:00,IVERSON ROAD,CAMDEN,GREATER LONDON,NW62HL,525368,184755
597019,1050000,12/10/2015 0:00,AVENUE ROAD,CAMDEN,GREATER LONDON,NW86DD,527359,183692
597146,1050000,03/10/2015 0:00,ST EDMUNDS TERRACE,CAMDEN,GREATER LONDON,NW87QN,527530,183598
927466,1050000,11/30/2015 0:00,HUNTLEY STREET,CAMDEN,GREATER LONDON,WC1E6AJ,529606,181933
592878,1040000,08/21/2015 0:00,ARLINGTON ROAD,CAMDEN,GREATER LONDON,NW17HT,528961,183604
594005,1040000,12/07/2015 0:00,HAVERSTOCK HILL,CAMDEN,GREATER LONDON,NW32AT,527486,185007
595198,1040000,06/19/2015 0:00,LISSENDEN GARDENS,CAMDEN,GREATER LONDON,NW51PR,528392,185843
594121,1030000,03/19/2015 0:00,NASSINGTON ROAD,CAMDEN,GREATER LONDON,NW32TX,527517,185773
594458,1030000,02/05/2015 0:00,FITZJOHNS AVENUE,CAMDEN,GREATER LONDON,NW35LT,526599,185063
595318,1030000,05/06/2015 0:00,TORRIANO COTTAGES,CAMDEN,GREATER LONDON,NW52TA,529508,185116
593985,1025500,03/31/2015 0:00,PILGRIMS LANE,CAMDEN,GREATER LONDON,NW31SP,526969,185820
592613,1025000,09/29/2015 0:00,COBOURG STREET,CAMDEN,GREATER LONDON,NW12HP,529366,182666
