"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E01000883",717,140,257,175,50,13,28,25,6,23,19.5258019525802,35.8437935843794,24.4072524407252,6.97350069735007,1.81311018131102,3.90516039051604,3.48675034867503,0.836820083682008,3.20781032078103
"E01000884",716,192,217,149,53,9,44,22,7,23,26.8156424581006,30.3072625698324,20.8100558659218,7.40223463687151,1.25698324022346,6.14525139664804,3.07262569832402,0.977653631284916,3.2122905027933
"E01000885",664,163,208,163,41,11,44,13,2,19,24.5481927710843,31.3253012048193,24.5481927710843,6.17469879518072,1.6566265060241,6.62650602409639,1.9578313253012,0.301204819277108,2.86144578313253
"E01000886",802,109,307,192,52,33,49,30,3,27,13.5910224438903,38.2793017456359,23.9401496259352,6.48379052369077,4.11471321695761,6.10972568578554,3.74064837905237,0.374064837905237,3.36658354114713
"E01000887",885,137,340,200,55,26,35,38,22,32,15.4802259887006,38.4180790960452,22.5988700564972,6.21468926553672,2.93785310734463,3.95480225988701,4.29378531073446,2.48587570621469,3.61581920903955
"E01000888",812,113,291,177,74,34,41,29,13,40,13.9162561576355,35.8374384236453,21.7980295566502,9.11330049261084,4.1871921182266,5.04926108374384,3.57142857142857,1.60098522167488,4.92610837438424
"E01000889",659,51,129,104,79,49,67,61,42,77,7.73899848254932,19.5751138088012,15.7814871016692,11.9878603945372,7.43550834597876,10.1669195751138,9.25644916540212,6.37329286798179,11.6843702579666
"E01000890",575,42,81,73,84,56,67,54,30,88,7.30434782608696,14.0869565217391,12.695652173913,14.6086956521739,9.73913043478261,11.6521739130435,9.39130434782609,5.21739130434783,15.304347826087
"E01000891",540,38,106,93,67,39,46,62,28,61,7.03703703703704,19.6296296296296,17.2222222222222,12.4074074074074,7.22222222222222,8.51851851851852,11.4814814814815,5.18518518518519,11.2962962962963
"E01000892",943,156,346,208,65,37,44,33,21,33,16.542948038176,36.6914103923648,22.0572640509014,6.89289501590668,3.92364793213149,4.66595970307529,3.49946977730647,2.22693531283139,3.49946977730647
"E01000893",900,140,371,240,53,21,37,18,7,13,15.5555555555556,41.2222222222222,26.6666666666667,5.88888888888889,2.33333333333333,4.11111111111111,2,0.777777777777778,1.44444444444444
"E01000894",767,172,289,198,34,9,26,19,5,15,22.4250325945241,37.6792698826597,25.8148631029987,4.43285528031291,1.17340286831812,3.38983050847458,2.47718383311604,0.651890482398957,1.95567144719687
"E01000895",893,160,321,210,58,29,40,33,14,28,17.9171332586786,35.946248600224,23.5162374020157,6.494960806271,3.2474804031355,4.47928331466965,3.69540873460246,1.56774916013438,3.13549832026876
"E01000896",910,190,366,233,57,11,24,16,3,10,20.8791208791209,40.2197802197802,25.6043956043956,6.26373626373626,1.20879120879121,2.63736263736264,1.75824175824176,0.32967032967033,1.0989010989011
"E01000897",870,230,314,201,52,15,26,15,4,13,26.4367816091954,36.0919540229885,23.1034482758621,5.97701149425287,1.72413793103448,2.98850574712644,1.72413793103448,0.459770114942529,1.49425287356322
"E01000898",978,128,493,168,56,18,40,28,6,41,13.0879345603272,50.4089979550102,17.1779141104294,5.72597137014315,1.84049079754601,4.08997955010225,2.86298568507157,0.613496932515337,4.19222903885481
"E01000899",826,242,279,194,38,11,41,10,2,9,29.2978208232446,33.7772397094431,23.4866828087167,4.60048426150121,1.3317191283293,4.9636803874092,1.21065375302663,0.242130750605327,1.08958837772397
"E01000900",885,108,225,191,90,58,69,57,20,67,12.2033898305085,25.4237288135593,21.5819209039548,10.1694915254237,6.55367231638418,7.79661016949153,6.44067796610169,2.25988700564972,7.57062146892655
"E01000901",680,58,151,92,75,46,72,66,35,85,8.52941176470588,22.2058823529412,13.5294117647059,11.0294117647059,6.76470588235294,10.5882352941176,9.70588235294118,5.14705882352941,12.5
