"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E00004429",132,131,0,1,134,127,7,3,16,33,15,44,22,1,99.2424242424242,0,0.757575757575758,94.7761194029851,5.22388059701492,2.23880597014925,11.9402985074627,24.6268656716418,11.1940298507463,32.8358208955224,16.4179104477612,0.746268656716418
"E00004430",124,121,1,2,132,125,7,1,1,3,87,40,0,0,97.5806451612903,0.806451612903226,1.61290322580645,94.6969696969697,5.3030303030303,0.757575757575758,0.757575757575758,2.27272727272727,65.9090909090909,30.3030303030303,0,0
"E00004431",114,114,0,0,114,106,8,4,18,10,22,60,0,0,100,0,0,92.9824561403509,7.01754385964912,3.50877192982456,15.7894736842105,8.7719298245614,19.2982456140351,52.6315789473684,0,0
"E00004432",143,142,0,1,146,135,11,1,15,4,23,99,4,0,99.3006993006993,0,0.699300699300699,92.4657534246575,7.53424657534247,0.684931506849315,10.2739726027397,2.73972602739726,15.7534246575342,67.8082191780822,2.73972602739726,0
"E00004433",148,148,0,0,148,139,9,6,11,1,39,90,1,0,100,0,0,93.9189189189189,6.08108108108108,4.05405405405405,7.43243243243243,0.675675675675676,26.3513513513513,60.8108108108108,0.675675675675676,0
"E00004435",123,123,0,0,123,119,4,0,5,8,85,24,1,0,100,0,0,96.7479674796748,3.2520325203252,0,4.0650406504065,6.50406504065041,69.1056910569106,19.5121951219512,0.813008130081301,0
"E00004436",147,143,1,3,173,166,7,18,24,9,37,80,5,0,97.2789115646258,0.680272108843537,2.04081632653061,95.9537572254335,4.04624277456647,10.4046242774566,13.8728323699422,5.20231213872832,21.3872832369942,46.242774566474,2.89017341040462,0
"E00004437",104,103,0,1,126,116,10,7,13,1,29,75,1,0,99.0384615384615,0,0.961538461538462,92.0634920634921,7.93650793650794,5.55555555555556,10.3174603174603,0.793650793650794,23.015873015873,59.5238095238095,0.793650793650794,0
"E00004438",105,102,0,3,126,118,8,0,8,0,76,38,4,0,97.1428571428571,0,2.85714285714286,93.6507936507936,6.34920634920635,0,6.34920634920635,0,60.3174603174603,30.1587301587302,3.17460317460317,0
"E00004439",117,117,0,0,117,113,4,5,6,2,54,50,0,0,100,0,0,96.5811965811966,3.41880341880342,4.27350427350427,5.12820512820513,1.70940170940171,46.1538461538462,42.7350427350427,0,0
"E00004440",118,118,0,0,118,112,6,2,5,12,44,55,0,0,100,0,0,94.9152542372881,5.08474576271187,1.69491525423729,4.23728813559322,10.1694915254237,37.2881355932203,46.6101694915254,0,0
"E00004441",118,118,0,0,118,115,3,3,4,46,4,60,1,0,100,0,0,97.4576271186441,2.54237288135593,2.54237288135593,3.38983050847458,38.9830508474576,3.38983050847458,50.8474576271186,0.847457627118644,0
"E00004442",114,114,0,0,114,109,5,0,0,1,100,13,0,0,100,0,0,95.6140350877193,4.3859649122807,0,0,0.87719298245614,87.719298245614,11.4035087719298,0,0
"E00004444",153,151,1,1,162,160,2,1,4,0,146,7,4,0,98.6928104575163,0.65359477124183,0.65359477124183,98.7654320987654,1.23456790123457,0.617283950617284,2.46913580246914,0,90.1234567901235,4.32098765432099,2.46913580246914,0
"E00004445",106,105,0,1,111,105,6,0,1,21,36,37,16,0,99.0566037735849,0,0.943396226415094,94.5945945945946,5.40540540540541,0,0.900900900900901,18.9189189189189,32.4324324324324,33.3333333333333,14.4144144144144,0
"E00004446",120,120,0,0,120,118,2,0,2,11,85,22,0,0,100,0,0,98.3333333333333,1.66666666666667,0,1.66666666666667,9.16666666666667,70.8333333333333,18.3333333333333,0,0
"E00004447",79,79,0,0,79,77,2,3,1,1,58,16,0,0,100,0,0,97.4683544303797,2.53164556962025,3.79746835443038,1.26582278481013,1.26582278481013,73.4177215189873,20.253164556962,0,0
"E00004448",143,143,0,0,143,142,1,1,5,46,53,38,0,0,100,0,0,99.3006993006993,0.699300699300699,0.699300699300699,3.4965034965035,32.1678321678322,37.0629370629371,26.5734265734266,0,0
"E00004450",178,177,1,0,179,175,4,1,3,20,47,106,2,0,99.438202247191,0.561797752808989,0,97.7653631284916,2.23463687150838,0.558659217877095,1.67597765363128,11.1731843575419,26.2569832402235,59.2178770949721,1.11731843575419,0
"E00004451",118,117,0,1,121,118,3,0,4,13,61,43,0,0,99.1525423728814,0,0.847457627118644,97.5206611570248,2.47933884297521,0,3.30578512396694,10.7438016528926,50.4132231404959,35.5371900826446,0,0
"E00004452",151,151,0,0,151,143,8,2,12,9,48,77,3,0,100,0,0,94.7019867549669,5.29801324503311,1.32450331125828,7.94701986754967,5.96026490066225,31.7880794701987,50.9933774834437,1.98675496688742,0
"E00004453",146,146,0,0,146,144,2,2,1,24,96,23,0,0,100,0,0,98.6301369863014,1.36986301369863,1.36986301369863,0.684931506849315,16.4383561643836,65.7534246575342,15.7534246575342,0,0
"E00004454",189,188,0,1,191,189,2,0,1,4,170,16,0,0,99.4708994708995,0,0.529100529100529,98.9528795811518,1.04712041884817,0,0.523560209424084,2.09424083769634,89.0052356020942,8.37696335078534,0,0
"E00004455",125,125,0,0,125,123,2,0,0,1,122,2,0,0,100,0,0,98.4,1.6,0,0,0.8,97.6,1.6,0,0
"E00004456",125,125,0,0,125,124,1,0,0,2,123,0,0,0,100,0,0,99.2,0.8,0,0,1.6,98.4,0,0,0
"E00004457",123,123,0,0,123,117,6,2,11,18,16,76,0,0,100,0,0,95.1219512195122,4.8780487804878,1.6260162601626,8.94308943089431,14.6341463414634,13.0081300813008,61.7886178861789,0,0
"E00004458",186,185,1,0,187,182,5,2,6,77,29,72,1,0,99.4623655913979,0.537634408602151,0,97.3262032085562,2.67379679144385,1.06951871657754,3.20855614973262,41.1764705882353,15.5080213903743,38.5026737967914,0.53475935828877,0
"E00004459",160,160,0,0,160,154,6,0,2,0,157,1,0,0,100,0,0,96.25,3.75,0,1.25,0,98.125,0.625,0,0
"E00004460",102,102,0,0,102,100,2,2,2,0,96,2,0,0,100,0,0,98.0392156862745,1.96078431372549,1.96078431372549,1.96078431372549,0,94.1176470588235,1.96078431372549,0,0
"E00004461",124,122,0,2,131,131,0,1,1,0,125,3,1,0,98.3870967741936,0,1.61290322580645,100,0,0.763358778625954,0.763358778625954,0,95.4198473282443,2.29007633587786,0.763358778625954,0
"E00004462",113,112,0,1,115,114,1,0,5,42,12,56,0,0,99.1150442477876,0,0.884955752212389,99.1304347826087,0.869565217391304,0,4.34782608695652,36.5217391304348,10.4347826086957,48.695652173913,0,0
"E00004463",144,143,1,0,145,139,6,0,0,1,143,1,0,0,99.3055555555556,0.694444444444444,0,95.8620689655172,4.13793103448276,0,0,0.689655172413793,98.6206896551724,0.689655172413793,0,0
"E00004464",88,87,1,0,89,89,0,0,0,0,89,0,0,0,98.8636363636364,1.13636363636364,0,100,0,0,0,0,100,0,0,0
"E00004465",170,170,0,0,170,166,4,4,3,31,118,13,1,0,100,0,0,97.6470588235294,2.35294117647059,2.35294117647059,1.76470588235294,18.2352941176471,69.4117647058823,7.64705882352941,0.588235294117647,0
"E00004466",130,130,0,0,130,121,9,0,1,0,127,1,1,0,100,0,0,93.0769230769231,6.92307692307692,0,0.769230769230769,0,97.6923076923077,0.769230769230769,0.769230769230769,0
"E00004467",135,135,0,0,135,133,2,1,5,0,121,8,0,0,100,0,0,98.5185185185185,1.48148148148148,0.740740740740741,3.7037037037037,0,89.6296296296296,5.92592592592593,0,0
"E00004468",142,141,1,0,143,143,0,0,0,1,137,3,2,0,99.2957746478873,0.704225352112676,0,100,0,0,0,0.699300699300699,95.8041958041958,2.0979020979021,1.3986013986014,0
"E00004469",128,127,1,0,129,122,7,1,16,11,29,65,7,0,99.21875,0.78125,0,94.5736434108527,5.42635658914729,0.775193798449612,12.4031007751938,8.52713178294574,22.4806201550388,50.3875968992248,5.42635658914729,0
"E00004470",141,139,1,1,145,140,5,0,4,9,55,67,10,0,98.5815602836879,0.709219858156028,0.709219858156028,96.551724137931,3.44827586206897,0,2.75862068965517,6.20689655172414,37.9310344827586,46.2068965517241,6.89655172413793,0
"E00004471",127,127,0,0,127,117,10,2,8,1,116,0,0,0,100,0,0,92.1259842519685,7.8740157480315,1.5748031496063,6.2992125984252,0.78740157480315,91.3385826771654,0,0,0
"E00004472",157,157,0,0,157,156,1,4,4,12,79,49,9,0,100,0,0,99.3630573248408,0.636942675159236,2.54777070063694,2.54777070063694,7.64331210191083,50.3184713375796,31.2101910828025,5.73248407643312,0
"E00004473",129,129,0,0,129,124,5,7,23,3,69,27,0,0,100,0,0,96.1240310077519,3.87596899224806,5.42635658914729,17.8294573643411,2.32558139534884,53.4883720930233,20.9302325581395,0,0
"E00004474",146,146,0,0,146,142,4,1,8,82,33,13,9,0,100,0,0,97.2602739726027,2.73972602739726,0.684931506849315,5.47945205479452,56.1643835616438,22.6027397260274,8.9041095890411,6.16438356164384,0
"E00004475",125,125,0,0,125,123,2,0,1,1,123,0,0,0,100,0,0,98.4,1.6,0,0.8,0.8,98.4,0,0,0
"E00004476",134,134,0,0,134,134,0,0,1,7,126,0,0,0,100,0,0,100,0,0,0.746268656716418,5.22388059701492,94.0298507462687,0,0,0
"E00004477",173,173,0,0,173,163,10,1,0,0,170,2,0,0,100,0,0,94.2196531791908,5.78034682080925,0.578034682080925,0,0,98.2658959537572,1.15606936416185,0,0
"E00004478",233,233,0,0,233,220,13,0,2,12,159,41,19,0,100,0,0,94.4206008583691,5.5793991416309,0,0.858369098712446,5.15021459227468,68.2403433476395,17.5965665236052,8.15450643776824,0
"E00004479",148,148,0,0,148,141,7,0,5,1,90,51,1,0,100,0,0,95.2702702702703,4.72972972972973,0,3.37837837837838,0.675675675675676,60.8108108108108,34.4594594594595,0.675675675675676,0
"E00004480",122,122,0,0,122,116,6,0,3,16,36,61,6,0,100,0,0,95.0819672131148,4.91803278688525,0,2.45901639344262,13.1147540983607,29.5081967213115,50,4.91803278688525,0
"E00004481",135,135,0,0,135,133,2,1,7,4,101,20,2,0,100,0,0,98.5185185185185,1.48148148148148,0.740740740740741,5.18518518518519,2.96296296296296,74.8148148148148,14.8148148148148,1.48148148148148,0
"E00004482",120,119,1,0,121,121,0,7,11,29,23,51,0,0,99.1666666666667,0.833333333333333,0,100,0,5.78512396694215,9.09090909090909,23.9669421487603,19.0082644628099,42.1487603305785,0,0
"E00004483",117,116,0,1,119,114,5,4,26,14,7,60,8,0,99.1452991452991,0,0.854700854700855,95.7983193277311,4.20168067226891,3.36134453781513,21.8487394957983,11.7647058823529,5.88235294117647,50.4201680672269,6.72268907563025,0
"E00004484",117,117,0,0,117,112,5,3,3,51,29,28,3,0,100,0,0,95.7264957264957,4.27350427350427,2.56410256410256,2.56410256410256,43.5897435897436,24.7863247863248,23.9316239316239,2.56410256410256,0
"E00004485",125,125,0,0,125,123,2,3,2,26,56,35,3,0,100,0,0,98.4,1.6,2.4,1.6,20.8,44.8,28,2.4,0
"E00004486",117,116,1,0,118,116,2,0,1,39,70,8,0,0,99.1452991452991,0.854700854700855,0,98.3050847457627,1.69491525423729,0,0.847457627118644,33.0508474576271,59.3220338983051,6.77966101694915,0,0
"E00004487",114,114,0,0,114,112,2,0,0,4,73,37,0,0,100,0,0,98.2456140350877,1.75438596491228,0,0,3.50877192982456,64.0350877192982,32.4561403508772,0,0
"E00004488",82,82,0,0,82,82,0,0,0,1,79,2,0,0,100,0,0,100,0,0,0,1.21951219512195,96.3414634146341,2.4390243902439,0,0
"E00004489",120,119,1,0,121,120,1,3,0,1,117,0,0,0,99.1666666666667,0.833333333333333,0,99.1735537190083,0.826446280991736,2.47933884297521,0,0.826446280991736,96.6942148760331,0,0,0
"E00004490",96,95,1,0,97,94,3,2,1,17,49,20,8,0,98.9583333333333,1.04166666666667,0,96.9072164948454,3.09278350515464,2.06185567010309,1.03092783505155,17.5257731958763,50.5154639175258,20.6185567010309,8.24742268041237,0
"E00004491",150,150,0,0,150,149,1,1,10,10,123,6,0,0,100,0,0,99.3333333333333,0.666666666666667,0.666666666666667,6.66666666666667,6.66666666666667,82,4,0,0
"E00004492",159,159,0,0,159,128,31,76,11,6,38,25,3,0,100,0,0,80.5031446540881,19.4968553459119,47.7987421383648,6.91823899371069,3.77358490566038,23.8993710691824,15.7232704402516,1.88679245283019,0
"E00004493",113,111,0,2,122,118,4,1,0,1,118,1,1,0,98.2300884955752,0,1.76991150442478,96.7213114754098,3.27868852459016,0.819672131147541,0,0.819672131147541,96.7213114754098,0.819672131147541,0.819672131147541,0
"E00004494",200,197,1,2,207,182,25,17,23,53,24,60,30,0,98.5,0.5,1,87.9227053140097,12.0772946859903,8.21256038647343,11.1111111111111,25.6038647342995,11.5942028985507,28.9855072463768,14.4927536231884,0
"E00004495",133,133,0,0,133,126,7,17,15,31,52,18,0,0,100,0,0,94.7368421052632,5.26315789473684,12.781954887218,11.2781954887218,23.3082706766917,39.0977443609023,13.5338345864662,0,0
"E00004496",158,158,0,0,158,151,7,33,19,23,74,9,0,0,100,0,0,95.5696202531646,4.43037974683544,20.8860759493671,12.0253164556962,14.5569620253165,46.8354430379747,5.69620253164557,0,0
"E00004497",119,119,0,0,119,117,2,1,0,3,115,0,0,0,100,0,0,98.3193277310924,1.68067226890756,0.840336134453782,0,2.52100840336134,96.6386554621849,0,0,0
"E00004498",146,146,0,0,146,145,1,0,6,12,106,22,0,0,100,0,0,99.3150684931507,0.684931506849315,0,4.10958904109589,8.21917808219178,72.6027397260274,15.0684931506849,0,0
"E00004499",148,148,0,0,148,135,13,75,31,10,5,27,0,0,100,0,0,91.2162162162162,8.78378378378378,50.6756756756757,20.9459459459459,6.75675675675676,3.37837837837838,18.2432432432432,0,0
"E00004500",132,131,1,0,133,131,2,1,0,0,127,5,0,0,99.2424242424242,0.757575757575758,0,98.4962406015038,1.50375939849624,0.75187969924812,0,0,95.4887218045113,3.7593984962406,0,0
"E00004501",97,97,0,0,97,76,21,0,1,0,94,2,0,0,100,0,0,78.3505154639175,21.6494845360825,0,1.03092783505155,0,96.9072164948454,2.06185567010309,0,0
"E00004502",120,120,0,0,120,120,0,2,1,21,94,2,0,0,100,0,0,100,0,1.66666666666667,0.833333333333333,17.5,78.3333333333333,1.66666666666667,0,0
"E00004503",125,124,0,1,144,132,12,1,0,0,137,6,0,0,99.2,0,0.8,91.6666666666667,8.33333333333333,0.694444444444444,0,0,95.1388888888889,4.16666666666667,0,0
"E00004504",117,117,0,0,117,117,0,49,62,1,3,2,0,0,100,0,0,100,0,41.8803418803419,52.991452991453,0.854700854700855,2.56410256410256,1.70940170940171,0,0
"E00004505",124,124,0,0,124,124,0,4,8,32,49,31,0,0,100,0,0,100,0,3.2258064516129,6.45161290322581,25.8064516129032,39.5161290322581,25,0,0
"E00004506",133,133,0,0,133,133,0,1,9,28,30,63,2,0,100,0,0,100,0,0.75187969924812,6.76691729323308,21.0526315789474,22.5563909774436,47.3684210526316,1.50375939849624,0
"E00004507",105,105,0,0,105,104,1,10,65,0,29,1,0,0,100,0,0,99.0476190476191,0.952380952380952,9.52380952380952,61.9047619047619,0,27.6190476190476,0.952380952380952,0,0
"E00004508",154,154,0,0,154,150,4,9,8,0,116,18,3,0,100,0,0,97.4025974025974,2.5974025974026,5.84415584415584,5.19480519480519,0,75.3246753246753,11.6883116883117,1.94805194805195,0
"E00004509",127,127,0,0,127,122,5,10,34,8,50,23,2,0,100,0,0,96.0629921259843,3.93700787401575,7.8740157480315,26.7716535433071,6.2992125984252,39.3700787401575,18.1102362204724,1.5748031496063,0
"E00004510",131,131,0,0,131,128,3,8,19,9,64,27,4,0,100,0,0,97.7099236641221,2.29007633587786,6.10687022900763,14.5038167938931,6.87022900763359,48.8549618320611,20.6106870229008,3.05343511450382,0
"E00004511",146,145,0,1,148,144,4,3,20,46,6,73,0,0,99.3150684931507,0,0.684931506849315,97.2972972972973,2.7027027027027,2.02702702702703,13.5135135135135,31.0810810810811,4.05405405405405,49.3243243243243,0,0
"E00004512",124,124,0,0,124,120,4,3,7,5,64,44,0,1,100,0,0,96.7741935483871,3.2258064516129,2.41935483870968,5.64516129032258,4.03225806451613,51.6129032258064,35.4838709677419,0,0.806451612903226
"E00004513",101,99,1,1,104,102,2,25,19,10,8,39,3,0,98.019801980198,0.99009900990099,0.99009900990099,98.0769230769231,1.92307692307692,24.0384615384615,18.2692307692308,9.61538461538462,7.69230769230769,37.5,2.88461538461538,0
"E00004514",124,124,0,0,124,116,8,5,14,34,14,57,0,0,100,0,0,93.5483870967742,6.45161290322581,4.03225806451613,11.2903225806452,27.4193548387097,11.2903225806452,45.9677419354839,0,0
"E00004515",118,116,0,2,123,121,2,3,11,17,28,64,0,0,98.3050847457627,0,1.69491525423729,98.3739837398374,1.6260162601626,2.4390243902439,8.94308943089431,13.8211382113821,22.7642276422764,52.0325203252033,0,0
"E00004516",140,140,0,0,140,133,7,4,15,69,18,32,2,0,100,0,0,95,5,2.85714285714286,10.7142857142857,49.2857142857143,12.8571428571429,22.8571428571429,1.42857142857143,0
"E00004517",110,110,0,0,110,109,1,1,1,0,103,5,0,0,100,0,0,99.0909090909091,0.909090909090909,0.909090909090909,0.909090909090909,0,93.6363636363636,4.54545454545455,0,0
"E00004518",118,117,1,0,119,116,3,0,3,10,73,33,0,0,99.1525423728814,0.847457627118644,0,97.4789915966387,2.52100840336134,0,2.52100840336134,8.40336134453782,61.3445378151261,27.7310924369748,0,0
"E00004519",113,113,0,0,113,112,1,1,3,65,9,34,1,0,100,0,0,99.1150442477876,0.884955752212389,0.884955752212389,2.65486725663717,57.5221238938053,7.9646017699115,30.0884955752212,0.884955752212389,0
"E00004520",144,144,0,0,144,140,4,1,0,0,142,0,1,0,100,0,0,97.2222222222222,2.77777777777778,0.694444444444444,0,0,98.6111111111111,0,0.694444444444444,0
"E00004521",138,138,0,0,138,127,11,0,0,2,122,12,2,0,100,0,0,92.0289855072464,7.97101449275362,0,0,1.44927536231884,88.4057971014493,8.69565217391304,1.44927536231884,0
"E00004522",140,139,0,1,148,117,31,2,0,1,93,11,41,0,99.2857142857143,0,0.714285714285714,79.0540540540541,20.9459459459459,1.35135135135135,0,0.675675675675676,62.8378378378378,7.43243243243243,27.7027027027027,0
"E00004523",261,261,0,0,261,244,17,1,2,0,190,39,29,0,100,0,0,93.4865900383142,6.51340996168582,0.383141762452107,0.766283524904214,0,72.7969348659004,14.9425287356322,11.1111111111111,0
"E00004524",273,273,0,0,273,216,57,0,4,6,148,15,100,0,100,0,0,79.1208791208791,20.8791208791209,0,1.46520146520147,2.1978021978022,54.2124542124542,5.49450549450549,36.6300366300366,0
"E00004525",123,122,0,1,127,119,8,0,0,2,101,0,23,1,99.1869918699187,0,0.813008130081301,93.7007874015748,6.2992125984252,0,0,1.5748031496063,79.5275590551181,0,18.1102362204724,0.78740157480315
"E00004526",132,132,0,0,132,125,7,0,0,5,118,5,4,0,100,0,0,94.6969696969697,5.3030303030303,0,0,3.78787878787879,89.3939393939394,3.78787878787879,3.03030303030303,0
"E00004527",108,107,0,1,110,102,8,0,0,2,86,9,13,0,99.0740740740741,0,0.925925925925926,92.7272727272727,7.27272727272727,0,0,1.81818181818182,78.1818181818182,8.18181818181818,11.8181818181818,0
"E00004528",173,169,0,4,181,170,11,1,0,5,119,36,20,0,97.6878612716763,0,2.3121387283237,93.9226519337017,6.07734806629834,0.552486187845304,0,2.76243093922652,65.7458563535912,19.8895027624309,11.0497237569061,0
"E00004529",227,224,1,2,232,207,25,1,3,19,106,58,45,0,98.6784140969163,0.440528634361234,0.881057268722467,89.2241379310345,10.7758620689655,0.431034482758621,1.29310344827586,8.18965517241379,45.6896551724138,25,19.3965517241379,0
"E00004530",150,150,0,0,150,141,9,0,1,1,123,13,12,0,100,0,0,94,6,0,0.666666666666667,0.666666666666667,82,8.66666666666667,8,0
"E00004531",123,123,0,0,123,119,4,2,3,9,53,49,7,0,100,0,0,96.7479674796748,3.2520325203252,1.6260162601626,2.4390243902439,7.31707317073171,43.0894308943089,39.8373983739837,5.69105691056911,0
"E00004532",170,167,0,3,189,168,21,1,3,32,43,104,6,0,98.2352941176471,0,1.76470588235294,88.8888888888889,11.1111111111111,0.529100529100529,1.58730158730159,16.9312169312169,22.7513227513227,55.026455026455,3.17460317460317,0
"E00004534",113,112,1,0,114,114,0,0,0,1,110,2,1,0,99.1150442477876,0.884955752212389,0,100,0,0,0,0.87719298245614,96.4912280701754,1.75438596491228,0.87719298245614,0
"E00004535",138,137,0,1,141,124,17,0,2,4,100,28,7,0,99.2753623188406,0,0.72463768115942,87.9432624113475,12.0567375886525,0,1.41843971631206,2.83687943262411,70.9219858156028,19.8581560283688,4.9645390070922,0
"E00004536",147,146,0,1,155,138,17,0,0,2,115,21,17,0,99.3197278911565,0,0.680272108843537,89.0322580645161,10.9677419354839,0,0,1.29032258064516,74.1935483870968,13.5483870967742,10.9677419354839,0
"E00004537",88,88,0,0,88,85,3,0,0,3,44,37,4,0,100,0,0,96.5909090909091,3.40909090909091,0,0,3.40909090909091,50,42.0454545454545,4.54545454545455,0
