"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E00004322",114,31,32,21,20,4,4,2,0
"E00004323",96,23,36,17,12,7,0,1,0
"E00004324",122,42,29,17,26,4,4,0,0
"E00004325",113,57,23,11,12,9,1,0,0
"E00004326",117,61,18,6,15,16,0,0,1
"E00004327",140,52,39,22,18,5,2,1,1
"E00004328",95,29,30,14,12,5,2,3,0
"E00004329",124,41,38,16,14,13,2,0,0
"E00004330",146,61,53,11,15,5,0,0,1
"E00004331",112,39,37,10,8,11,5,0,2
"E00004332",87,32,29,13,8,2,3,0,0
"E00004333",133,58,48,19,4,4,0,0,0
"E00004334",106,53,29,5,12,5,1,1,0
"E00004335",145,57,56,10,17,4,0,0,1
"E00004336",175,77,62,16,8,8,3,1,0
"E00004337",114,41,31,22,13,5,1,0,1
"E00004338",112,32,41,14,14,7,4,0,0
"E00004339",112,37,50,11,7,6,1,0,0
"E00004340",95,32,26,24,6,2,4,1,0
"E00004341",132,68,38,14,12,0,0,0,0
"E00004342",94,35,36,11,8,1,2,0,1
"E00004343",120,54,41,16,8,1,0,0,0
"E00004344",118,50,36,18,9,3,0,1,1
"E00004345",121,25,47,21,15,11,2,0,0
"E00004346",94,23,30,10,23,7,0,1,0
"E00004347",97,33,22,13,17,9,3,0,0
"E00004348",131,59,37,13,13,6,3,0,0
"E00004349",117,22,28,23,28,11,5,0,0
"E00004350",125,41,52,13,12,6,1,0,0
"E00004351",131,52,46,12,14,6,1,0,0
"E00004352",118,36,32,15,22,8,5,0,0
"E00004353",137,60,56,9,8,4,0,0,0
"E00004354",108,33,37,17,15,4,2,0,0
"E00004355",122,43,40,21,15,3,0,0,0
"E00004356",121,40,28,16,20,12,4,1,0
"E00004357",118,23,27,28,19,16,3,1,1
"E00004358",114,43,22,23,18,5,2,1,0
"E00004359",121,31,38,19,20,10,2,0,1
"E00004360",118,35,39,22,15,6,1,0,0
"E00004361",99,34,34,18,7,4,2,0,0
"E00004362",127,37,28,22,25,13,2,0,0
"E00004363",153,53,37,14,24,17,6,1,1
