"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E01000860",656,1,0,11,3,2,0,1,0,2,3,1,0,14,46,6,25,53,60,10,138,15,31,65,118,52,8,2
"E01000861",839,1,0,10,2,1,0,3,0,2,2,1,2,27,82,21,69,114,35,20,143,36,28,86,80,81,2,1
"E01000862",1020,0,0,22,3,3,0,3,2,2,9,1,1,31,63,20,30,117,151,24,241,25,28,75,82,100,7,2
"E01000863",907,0,1,21,2,3,1,3,3,2,7,4,0,17,102,18,98,131,64,14,155,23,23,72,74,83,5,2
"E01000864",876,0,1,17,4,0,0,5,0,3,5,2,2,28,86,12,41,124,44,20,168,26,44,104,82,72,2,1
"E01000865",642,1,0,10,0,1,0,2,2,2,3,0,1,11,55,6,41,78,32,12,145,26,30,69,45,76,2,2
"E01000866",1044,0,0,18,1,3,0,3,1,4,6,4,3,36,107,29,65,104,48,20,196,42,38,117,104,102,6,5
"E01000867",700,1,1,10,1,2,0,1,1,2,3,1,1,22,93,21,69,72,37,8,108,32,22,73,66,57,4,2
"E01000868",605,1,0,12,0,1,0,1,5,1,4,1,1,32,77,36,54,44,38,20,68,27,21,58,61,52,2,0
"E01000869",1166,2,1,21,4,3,0,0,4,0,10,4,1,34,109,17,60,140,83,26,241,40,32,125,112,114,3,1
"E01000870",873,1,2,12,4,1,0,3,1,0,3,2,1,41,94,18,38,111,42,18,143,29,45,94,72,105,5,0
"E01000871",865,1,1,24,4,1,0,4,2,5,8,3,3,47,86,22,41,72,63,12,159,43,26,106,80,60,14,2
"E01000872",1191,2,3,21,2,2,0,3,0,7,7,1,5,66,102,28,101,127,93,20,176,65,39,126,105,98,8,5
"E01000873",1004,0,1,19,5,0,0,3,2,3,6,5,1,24,79,18,36,107,115,27,214,48,42,100,87,71,7,3
"E01000874",943,0,4,29,5,2,0,5,2,3,12,2,0,17,77,8,22,92,151,32,211,23,36,94,74,63,5,3
"E01000875",982,0,0,24,4,2,0,8,4,1,5,1,0,38,94,20,89,87,75,19,187,56,38,98,76,69,6,5
"E01000876",839,0,1,19,5,1,0,1,0,3,9,0,2,36,85,29,76,69,68,24,121,55,33,89,71,56,3,2
"E01000877",973,1,1,18,4,1,2,2,2,6,1,1,1,33,93,18,40,113,118,22,181,43,28,97,85,68,4,8
"E01000878",675,2,2,21,3,0,0,7,1,3,7,2,2,16,75,8,29,51,120,26,119,20,16,55,55,39,12,5
"E01000879",737,1,2,12,1,2,0,5,1,0,3,1,1,24,62,10,56,58,124,16,137,24,18,77,58,45,4,7
"E01000880",790,0,2,17,0,0,2,3,2,7,3,2,0,19,61,5,14,74,164,26,161,27,15,67,56,57,12,11
"E01000881",795,1,1,20,4,1,3,1,0,5,6,2,0,21,61,9,37,75,139,27,149,38,17,63,59,61,5,10
"E01000882",954,1,1,23,3,4,0,8,0,3,5,3,0,15,68,7,34,107,174,18,231,33,23,62,70,71,5,8
"E01000883",717,1,3,14,4,1,0,7,1,0,1,1,0,13,61,13,24,75,161,12,142,27,10,54,57,41,5,3
"E01000884",716,1,1,14,1,4,0,1,1,3,4,3,1,20,71,13,21,45,132,24,137,23,16,61,71,44,18,0
"E01000885",664,2,1,17,2,1,0,5,0,4,5,2,0,15,56,7,13,54,103,25,146,31,11,55,49,58,13,6
"E01000886",802,0,3,9,3,0,1,2,0,1,2,0,1,43,61,8,25,121,47,15,137,33,18,101,109,70,0,1
"E01000887",885,1,1,18,2,1,0,1,1,7,6,1,0,26,78,19,35,87,84,7,159,33,21,105,117,83,6,4
"E01000888",812,0,1,10,2,2,0,1,1,1,3,0,1,20,68,17,25,92,69,15,169,29,28,83,96,83,5,1
"E01000889",659,1,0,12,2,1,1,0,1,0,7,1,3,35,77,31,50,50,26,14,62,35,34,94,84,49,1,0
"E01000890",575,1,0,13,5,2,0,0,2,1,3,0,2,22,86,24,57,32,13,10,39,33,24,76,88,50,3,2
"E01000891",540,0,1,10,3,2,0,0,1,0,4,1,2,17,74,26,50,37,30,12,72,26,27,51,73,27,3,1
"E01000892",943,0,2,12,1,2,0,1,0,3,5,0,0,25,82,18,34,88,107,15,177,44,35,106,122,71,2,3
"E01000893",900,0,3,26,3,3,1,3,2,3,11,1,0,20,73,10,21,113,86,7,172,30,35,117,84,95,5,2
"E01000894",767,1,2,12,0,4,0,4,1,2,1,0,0,14,48,10,21,75,136,19,177,29,20,62,77,58,4,2
"E01000895",893,1,0,23,8,5,0,4,2,2,2,2,0,26,49,10,30,93,128,37,180,37,34,89,85,62,4,3
"E01000896",910,1,0,17,7,2,1,4,0,3,0,3,0,28,58,4,18,108,125,22,221,37,21,62,91,80,8,6
"E01000897",870,0,0,18,2,1,0,4,1,8,2,2,0,11,60,10,22,83,203,20,186,26,17,76,68,49,7,12
"E01000898",978,0,3,13,1,0,0,3,1,2,6,1,0,12,63,22,27,69,98,18,118,21,30,71,362,48,2,0
"E01000899",826,0,2,18,3,4,0,3,0,1,7,2,2,17,64,9,24,96,144,28,161,34,17,53,78,62,13,2
"E01000900",885,2,0,24,4,3,0,2,3,1,11,0,5,36,100,32,60,91,55,23,148,32,34,94,80,67,1,1
"E01000901",680,0,0,6,2,4,0,0,0,0,0,1,4,21,92,36,63,46,24,21,66,35,40,96,75,48,5,1
"E01000902",550,0,1,7,1,1,0,1,0,1,3,1,0,21,85,27,31,52,29,16,62,29,16,65,61,44,2,1
"E01000903",768,0,0,9,1,1,1,2,0,1,3,1,3,16,88,9,37,94,81,11,158,22,19,79,75,61,2,3
"E01000904",1016,0,1,22,2,4,0,1,3,3,9,0,1,42,101,34,66,104,75,14,158,59,31,117,101,86,3,1
"E01000905",693,0,0,12,3,3,0,0,1,1,4,1,3,19,114,36,73,38,31,12,80,31,28,73,88,49,4,1
"E01000906",945,0,1,18,1,2,1,3,1,3,7,1,2,24,80,11,34,130,139,16,178,36,27,80,92,68,5,3
"E01000907",639,0,0,10,0,2,0,0,0,2,6,4,4,24,57,25,25,74,21,8,97,29,26,90,95,45,4,1
"E01000908",758,1,0,7,2,1,1,0,0,1,2,2,1,24,59,16,25,62,30,10,118,44,28,112,129,84,4,2
"E01000909",836,2,1,16,2,3,1,1,2,1,6,1,0,19,50,13,22,107,48,13,193,27,37,101,108,68,8,2
"E01000910",810,0,0,17,1,4,0,1,1,6,4,4,1,17,60,7,20,110,43,5,180,23,32,108,107,70,6,0
"E01000911",755,0,0,6,1,0,0,0,2,1,2,2,0,17,55,23,40,100,37,17,137,25,27,103,89,68,8,1
"E01000912",757,0,1,11,1,2,0,0,2,3,3,0,3,23,68,27,41,85,20,17,114,26,38,114,100,62,4,3
"E01000913",938,0,0,26,0,5,1,2,3,7,8,1,0,36,51,8,23,84,92,28,221,35,23,108,107,81,11,3
"E01000914",952,0,2,14,0,2,0,2,1,0,9,3,2,10,86,10,65,102,107,14,229,37,50,82,50,86,0,3
"E01000915",675,1,0,8,0,0,0,2,3,0,3,3,1,31,82,24,79,41,53,2,109,30,24,62,54,69,0,2
"E01000916",972,0,3,20,4,2,0,2,4,4,4,1,2,11,77,34,53,112,166,16,209,31,36,95,33,69,3,1
"E01000917",726,1,0,15,3,3,0,0,4,0,5,0,1,21,86,45,76,46,49,10,95,48,27,65,74,62,4,1
"E01000918",1038,0,19,15,3,4,0,1,0,1,6,0,0,13,105,58,111,79,81,12,138,25,30,129,94,123,3,3
"E01000919",1008,0,2,11,1,3,0,2,1,2,2,1,0,23,145,20,129,86,72,7,180,38,22,83,87,99,2,1
"E01000920",1094,0,2,19,3,4,0,2,1,6,3,1,0,25,83,32,56,115,108,19,249,30,36,118,82,117,1,1
