"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E01000870",774,25,749,269,97,3.22997416020672,96.7700258397933,34.7545219638243,12.5322997416021
"E01000871",632,10,622,133,55,1.58227848101266,98.4177215189873,21.0443037974684,8.70253164556962
"E01000872",913,69,844,418,113,7.55750273822563,92.4424972617744,45.7831325301205,12.3767798466594
"E01000873",710,18,692,155,49,2.53521126760563,97.4647887323944,21.830985915493,6.90140845070423
"E01000874",704,24,680,125,35,3.40909090909091,96.5909090909091,17.7556818181818,4.97159090909091
"E01000875",839,33,806,294,83,3.93325387365912,96.0667461263409,35.0417163289631,9.8927294398093
"E01000876",800,13,787,265,107,1.625,98.375,33.125,13.375
"E01000877",726,18,708,235,47,2.47933884297521,97.5206611570248,32.3691460055096,6.47382920110193
"E01000878",550,6,544,77,35,1.09090909090909,98.9090909090909,14,6.36363636363636
"E01000879",602,14,588,108,33,2.32558139534884,97.6744186046512,17.9401993355482,5.48172757475083
"E01000880",621,15,606,103,41,2.41545893719807,97.5845410628019,16.5861513687601,6.60225442834138
"E01000881",632,22,610,193,45,3.48101265822785,96.5189873417722,30.5379746835443,7.12025316455696
"E01000882",728,35,693,158,50,4.80769230769231,95.1923076923077,21.7032967032967,6.86813186813187
"E01000883",638,20,618,192,45,3.13479623824451,96.8652037617555,30.0940438871473,7.05329153605016
"E01000884",577,5,572,67,20,0.866551126516464,99.1334488734835,11.6117850953206,3.46620450606586
"E01000885",592,9,583,39,12,1.52027027027027,98.4797297297297,6.58783783783784,2.02702702702703
"E01000886",606,20,586,128,57,3.3003300330033,96.6996699669967,21.1221122112211,9.40594059405941
"E01000887",690,24,666,163,62,3.47826086956522,96.5217391304348,23.6231884057971,8.98550724637681
"E01000888",697,33,664,160,57,4.73457675753228,95.2654232424677,22.9555236728838,8.17790530846485
"E01000889",657,20,637,171,109,3.0441400304414,96.9558599695586,26.027397260274,16.5905631659056
"E01000890",767,22,745,286,130,2.86831812255541,97.1316818774446,37.2881355932203,16.9491525423729
"E01000891",672,14,658,383,137,2.08333333333333,97.9166666666667,56.9940476190476,20.3869047619048
"E01000892",823,15,808,231,77,1.82260024301337,98.1773997569866,28.0680437424058,9.35601458080194
"E01000893",715,26,689,145,37,3.63636363636364,96.3636363636364,20.2797202797203,5.17482517482518
"E01000894",619,10,609,85,20,1.61550888529887,98.3844911147011,13.7318255250404,3.23101777059774
"E01000895",841,21,820,164,46,2.49702734839477,97.5029726516052,19.500594530321,5.46967895362663
"E01000896",756,16,740,134,35,2.11640211640212,97.8835978835979,17.7248677248677,4.62962962962963
"E01000897",721,18,703,75,21,2.49653259361997,97.50346740638,10.4022191400832,2.9126213592233
"E01000898",850,15,835,412,95,1.76470588235294,98.2352941176471,48.4705882352941,11.1764705882353
"E01000899",698,17,681,44,13,2.43553008595989,97.5644699140401,6.30372492836676,1.86246418338109
"E01000900",757,21,736,203,90,2.77410832232497,97.225891677675,26.8163804491413,11.889035667107
"E01000901",703,11,692,305,151,1.5647226173542,98.4352773826458,43.3854907539118,21.4793741109531
"E01000902",590,11,579,219,105,1.86440677966102,98.135593220339,37.1186440677966,17.7966101694915
"E01000903",686,22,664,175,54,3.2069970845481,96.7930029154519,25.5102040816327,7.87172011661808
"E01000904",918,17,901,299,135,1.85185185185185,98.1481481481482,32.5708061002179,14.7058823529412
"E01000905",812,16,796,334,176,1.97044334975369,98.0295566502463,41.1330049261084,21.6748768472906
"E01000906",788,15,773,211,80,1.90355329949239,98.0964467005076,26.7766497461929,10.1522842639594
"E01000907",627,9,618,143,85,1.43540669856459,98.5645933014354,22.8070175438596,13.5566188197767
