"GeographyCode","KS603EW0001","KS603EW0002","KS603EW0003","KS603EW0004","KS603EW0005","KS603EW0006","KS603EW0007","KS603EW0008","KS603EW0009","KS603EW0010","KS603EW0011","KS603EW0012","KS603EW0013","KS603EW0014","KS603EW0015","KS603EW0016","KS603EW0017","KS603EW0018","KS603EW0019","KS603EW0020","KS603EW0021","KS603EW0022","KS603EW0023","KS603EW0024","KS603EW0025","KS603EW0026","KS603EW0027","KS603EW0028","KS603EW0029"
"E00004371",89,10,19,3,5,4,9,8,10,14,7,1,0,0,3,11.2359550561798,21.3483146067416,3.37078651685393,5.61797752808989,4.49438202247191,10.1123595505618,8.98876404494382,11.2359550561798,15.7303370786517,7.86516853932584,1.12359550561798,0,0,3.37078651685393
"E00004372",120,16,40,10,5,7,10,10,10,10,2,1,1,1,4,13.3333333333333,33.3333333333333,8.33333333333333,4.16666666666667,5.83333333333333,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,1.66666666666667,0.833333333333333,0.833333333333333,0.833333333333333,3.33333333333333
"E00004373",125,23,26,5,5,5,19,9,16,13,4,1,0,2,1,18.4,20.8,4,4,4,15.2,7.2,12.8,10.4,3.2,0.8,0,1.6,0.8
"E00004374",93,12,29,4,3,1,5,14,12,10,3,1,0,1,1,12.9032258064516,31.1827956989247,4.3010752688172,3.2258064516129,1.0752688172043,5.37634408602151,15.0537634408602,12.9032258064516,10.752688172043,3.2258064516129,1.0752688172043,0,1.0752688172043,1.0752688172043
"E00004375",99,10,35,19,1,0,14,4,10,3,3,0,0,0,1,10.1010101010101,35.3535353535354,19.1919191919192,1.01010101010101,0,14.1414141414141,4.04040404040404,10.1010101010101,3.03030303030303,3.03030303030303,0,0,0,1.01010101010101
"E00004376",169,22,58,10,5,7,12,27,14,8,6,1,0,2,2,13.0177514792899,34.3195266272189,5.91715976331361,2.9585798816568,4.14201183431953,7.10059171597633,15.9763313609467,8.28402366863905,4.73372781065089,3.55029585798817,0.591715976331361,0,1.18343195266272,1.18343195266272
"E00004377",87,9,15,2,7,1,11,16,10,10,6,0,0,2,2,10.3448275862069,17.2413793103448,2.29885057471264,8.04597701149425,1.14942528735632,12.6436781609195,18.3908045977011,11.4942528735632,11.4942528735632,6.89655172413793,0,0,2.29885057471264,2.29885057471264
"E00004378",115,14,45,11,4,4,12,11,7,4,3,0,0,2,2,12.1739130434783,39.1304347826087,9.56521739130435,3.47826086956522,3.47826086956522,10.4347826086957,9.56521739130435,6.08695652173913,3.47826086956522,2.60869565217391,0,0,1.73913043478261,1.73913043478261
"E00004379",108,7,49,14,3,4,13,9,5,4,0,0,1,0,1,6.48148148148148,45.3703703703704,12.962962962963,2.77777777777778,3.7037037037037,12.037037037037,8.33333333333333,4.62962962962963,3.7037037037037,0,0,0.925925925925926,0,0.925925925925926
"E00004380",127,9,29,6,9,9,13,20,15,8,9,3,2,4,2,7.08661417322835,22.8346456692913,4.7244094488189,7.08661417322835,7.08661417322835,10.2362204724409,15.748031496063,11.8110236220472,6.2992125984252,7.08661417322835,2.36220472440945,1.5748031496063,3.1496062992126,1.5748031496063
"E00004381",129,14,56,28,1,3,11,8,3,3,2,0,0,0,0,10.8527131782946,43.4108527131783,21.7054263565891,0.775193798449612,2.32558139534884,8.52713178294574,6.2015503875969,2.32558139534884,2.32558139534884,1.55038759689922,0,0,0,0
"E00004382",115,11,49,10,3,7,9,13,11,1,1,1,0,1,2,9.56521739130435,42.6086956521739,8.69565217391304,2.60869565217391,6.08695652173913,7.82608695652174,11.304347826087,9.56521739130435,0.869565217391304,0.869565217391304,0.869565217391304,0,0.869565217391304,1.73913043478261
