"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00004213",26,8,4,14,0,0,0,0,26,8,4,14,30.7692307692308,15.3846153846154,53.8461538461538,0,0,0,0,100,30.7692307692308,15.3846153846154,53.8461538461538
"E00004214",22,5,4,13,1,0,0,1,21,5,4,12,22.7272727272727,18.1818181818182,59.0909090909091,4.54545454545455,0,0,4.54545454545455,95.4545454545455,22.7272727272727,18.1818181818182,54.5454545454545
"E00004215",2,1,1,0,0,0,0,0,2,1,1,0,50,50,0,0,0,0,0,100,50,50,0
"E00004216",4,1,0,3,0,0,0,0,4,1,0,3,25,0,75,0,0,0,0,100,25,0,75
"E00004217",3,0,1,2,0,0,0,0,3,0,1,2,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00004218",9,3,1,5,1,1,0,0,8,2,1,5,33.3333333333333,11.1111111111111,55.5555555555556,11.1111111111111,11.1111111111111,0,0,88.8888888888889,22.2222222222222,11.1111111111111,55.5555555555556
"E00004219",13,3,5,5,2,0,1,1,11,3,4,4,23.0769230769231,38.4615384615385,38.4615384615385,15.3846153846154,0,7.69230769230769,7.69230769230769,84.6153846153846,23.0769230769231,30.7692307692308,30.7692307692308
"E00004220",3,0,0,3,0,0,0,0,3,0,0,3,0,0,100,0,0,0,0,100,0,0,100
"E00004221",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00004222",3,1,0,2,1,0,0,1,2,1,0,1,33.3333333333333,0,66.6666666666667,33.3333333333333,0,0,33.3333333333333,66.6666666666667,33.3333333333333,0,33.3333333333333
"E00004223",7,2,1,4,0,0,0,0,7,2,1,4,28.5714285714286,14.2857142857143,57.1428571428571,0,0,0,0,100,28.5714285714286,14.2857142857143,57.1428571428571
"E00004224",2,2,0,0,0,0,0,0,2,2,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00004225",5,0,5,0,0,0,0,0,5,0,5,0,0,100,0,0,0,0,0,100,0,100,0
"E00004226",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004227",5,1,2,2,0,0,0,0,5,1,2,2,20,40,40,0,0,0,0,100,20,40,40
"E00004228",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004229",9,1,1,7,0,0,0,0,9,1,1,7,11.1111111111111,11.1111111111111,77.7777777777778,0,0,0,0,100,11.1111111111111,11.1111111111111,77.7777777777778
"E00004230",8,4,3,1,0,0,0,0,8,4,3,1,50,37.5,12.5,0,0,0,0,100,50,37.5,12.5
"E00004231",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004232",1,1,0,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00004233",5,0,1,4,0,0,0,0,5,0,1,4,0,20,80,0,0,0,0,100,0,20,80
"E00004234",2,0,1,1,0,0,0,0,2,0,1,1,0,50,50,0,0,0,0,100,0,50,50
"E00004235",17,2,5,10,1,1,0,0,16,1,5,10,11.7647058823529,29.4117647058824,58.8235294117647,5.88235294117647,5.88235294117647,0,0,94.1176470588235,5.88235294117647,29.4117647058824,58.8235294117647
"E00004236",8,4,2,2,1,1,0,0,7,3,2,2,50,25,25,12.5,12.5,0,0,87.5,37.5,25,25
"E00004237",12,3,5,4,1,0,1,0,11,3,4,4,25,41.6666666666667,33.3333333333333,8.33333333333333,0,8.33333333333333,0,91.6666666666667,25,33.3333333333333,33.3333333333333
"E00004238",3,2,1,0,0,0,0,0,3,2,1,0,66.6666666666667,33.3333333333333,0,0,0,0,0,100,66.6666666666667,33.3333333333333,0
"E00004239",9,3,1,5,0,0,0,0,9,3,1,5,33.3333333333333,11.1111111111111,55.5555555555556,0,0,0,0,100,33.3333333333333,11.1111111111111,55.5555555555556
"E00004240",10,3,1,6,0,0,0,0,10,3,1,6,30,10,60,0,0,0,0,100,30,10,60
"E00004241",3,0,1,2,0,0,0,0,3,0,1,2,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00004242",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
"E00004243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004244",15,2,2,11,0,0,0,0,15,2,2,11,13.3333333333333,13.3333333333333,73.3333333333333,0,0,0,0,100,13.3333333333333,13.3333333333333,73.3333333333333
