"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E00004185",171,1,70,39,28,10,31,0.584795321637427,40.9356725146199,22.8070175438596,16.374269005848,5.84795321637427,18.1286549707602
"E00004187",226,2,59,24,14,3,33,0.884955752212389,26.1061946902655,10.6194690265487,6.19469026548673,1.32743362831858,14.6017699115044
"E00004188",109,1,44,3,2,2,14,0.917431192660551,40.3669724770642,2.75229357798165,1.8348623853211,1.8348623853211,12.8440366972477
"E00004189",118,0,57,6,5,0,6,0,48.3050847457627,5.08474576271187,4.23728813559322,0,5.08474576271187
"E00004190",384,0,135,2,2,0,54,0,35.15625,0.520833333333333,0.520833333333333,0,14.0625
"E00004193",119,0,40,9,5,2,18,0,33.6134453781513,7.56302521008403,4.20168067226891,1.68067226890756,15.1260504201681
"E00004194",144,1,36,10,5,0,18,0.694444444444444,25,6.94444444444444,3.47222222222222,0,12.5
"E00004195",133,3,37,13,7,4,16,2.25563909774436,27.8195488721804,9.77443609022556,5.26315789473684,3.00751879699248,12.0300751879699
"E00004196",101,2,41,11,4,2,18,1.98019801980198,40.5940594059406,10.8910891089109,3.96039603960396,1.98019801980198,17.8217821782178
"E00004197",116,3,35,7,2,0,16,2.58620689655172,30.1724137931034,6.03448275862069,1.72413793103448,0,13.7931034482759
"E00004198",182,1,62,9,1,0,24,0.549450549450549,34.0659340659341,4.94505494505495,0.549450549450549,0,13.1868131868132
"E00004199",163,2,30,19,14,5,20,1.22699386503067,18.4049079754601,11.6564417177914,8.58895705521472,3.06748466257669,12.2699386503067
"E00004200",136,3,23,9,3,3,19,2.20588235294118,16.9117647058824,6.61764705882353,2.20588235294118,2.20588235294118,13.9705882352941
"E00004201",144,2,26,26,13,2,19,1.38888888888889,18.0555555555556,18.0555555555556,9.02777777777778,1.38888888888889,13.1944444444444
"E00004202",160,0,125,1,0,0,68,0,78.125,0.625,0,0,42.5
"E00004203",164,3,23,13,8,1,21,1.82926829268293,14.0243902439024,7.92682926829268,4.8780487804878,0.609756097560976,12.8048780487805
"E00004204",149,1,29,21,14,2,16,0.671140939597315,19.4630872483221,14.0939597315436,9.39597315436242,1.34228187919463,10.738255033557
"E00004205",145,2,13,36,16,5,15,1.37931034482759,8.96551724137931,24.8275862068966,11.0344827586207,3.44827586206897,10.3448275862069
"E00004206",127,12,43,37,12,6,33,9.44881889763779,33.8582677165354,29.1338582677165,9.44881889763779,4.7244094488189,25.9842519685039
"E00004207",128,13,31,50,21,14,26,10.15625,24.21875,39.0625,16.40625,10.9375,20.3125
"E00004208",125,14,43,40,20,12,32,11.2,34.4,32,16,9.6,25.6
