"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E00004147",126,37,18,1,1,0,66,1,2,29.3650793650794,14.2857142857143,0.793650793650794,0.793650793650794,0,52.3809523809524,0.793650793650794,1.58730158730159
"E00004148",106,40,23,0,1,0,40,1,1,37.7358490566038,21.6981132075472,0,0.943396226415094,0,37.7358490566038,0.943396226415094,0.943396226415094
"E00004149",149,54,33,0,3,1,56,1,1,36.241610738255,22.1476510067114,0,2.01342281879195,0.671140939597315,37.5838926174497,0.671140939597315,0.671140939597315
"E00004150",147,26,33,0,6,0,78,1,3,17.687074829932,22.4489795918367,0,4.08163265306122,0,53.0612244897959,0.680272108843537,2.04081632653061
"E00004151",148,35,47,0,1,1,62,0,2,23.6486486486486,31.7567567567568,0,0.675675675675676,0.675675675675676,41.8918918918919,0,1.35135135135135
"E00004152",113,48,21,1,0,4,36,1,2,42.4778761061947,18.5840707964602,0.884955752212389,0,3.53982300884956,31.858407079646,0.884955752212389,1.76991150442478
"E00004153",108,23,19,0,3,13,45,3,2,21.2962962962963,17.5925925925926,0,2.77777777777778,12.037037037037,41.6666666666667,2.77777777777778,1.85185185185185
"E00004154",122,32,24,0,0,0,63,1,2,26.2295081967213,19.672131147541,0,0,0,51.6393442622951,0.819672131147541,1.63934426229508
"E00004155",103,29,27,0,2,1,41,3,0,28.1553398058252,26.2135922330097,0,1.94174757281553,0.970873786407767,39.8058252427184,2.9126213592233,0
"E00004156",126,28,16,1,5,9,63,2,2,22.2222222222222,12.6984126984127,0.793650793650794,3.96825396825397,7.14285714285714,50,1.58730158730159,1.58730158730159
"E00004157",94,24,22,0,0,3,42,0,3,25.531914893617,23.4042553191489,0,0,3.19148936170213,44.6808510638298,0,3.19148936170213
"E00004158",124,10,14,0,59,9,29,2,1,8.06451612903226,11.2903225806452,0,47.5806451612903,7.25806451612903,23.3870967741935,1.61290322580645,0.806451612903226
"E00004159",160,9,2,0,133,3,12,0,1,5.625,1.25,0,83.125,1.875,7.5,0,0.625
"E00004160",103,4,6,0,68,18,5,0,2,3.88349514563107,5.8252427184466,0,66.0194174757282,17.4757281553398,4.85436893203883,0,1.94174757281553
"E00004161",96,29,21,0,1,1,38,2,4,30.2083333333333,21.875,0,1.04166666666667,1.04166666666667,39.5833333333333,2.08333333333333,4.16666666666667
"E00004162",128,13,16,0,2,1,91,1,4,10.15625,12.5,0,1.5625,0.78125,71.09375,0.78125,3.125
"E00004163",163,43,26,1,5,19,66,2,1,26.3803680981595,15.9509202453988,0.613496932515337,3.06748466257669,11.6564417177914,40.4907975460123,1.22699386503067,0.613496932515337
"E00004164",160,12,4,1,129,3,8,0,3,7.5,2.5,0.625,80.625,1.875,5,0,1.875
"E00004165",146,7,9,0,115,1,13,1,0,4.79452054794521,6.16438356164384,0,78.7671232876712,0.684931506849315,8.9041095890411,0.684931506849315,0
"E00004166",157,9,1,1,129,0,15,1,1,5.73248407643312,0.636942675159236,0.636942675159236,82.1656050955414,0,9.55414012738854,0.636942675159236,0.636942675159236
