"GeographyCode","KS604EW0001","KS604EW0002","KS604EW0003","KS604EW0004","KS604EW0005","KS604EW0006","KS604EW0007","KS604EW0008","KS604EW0009","KS604EW0010","KS604EW0011","KS604EW0012","KS604EW0013","KS604EW0014","KS604EW0015","KS604EW0016","KS604EW0017","KS604EW0018","KS604EW0019","KS604EW0020","KS604EW0021","KS604EW0022","KS604EW0023","KS604EW0024","KS604EW0025","KS604EW0026","KS604EW0027","KS604EW0028","KS604EW0029"
"E01000886",802,54,138,437,173,404,15,52,217,120,398,39,86,220,53,6.73316708229426,17.2069825436409,54.4887780548628,21.571072319202,50.3740648379052,1.87032418952618,6.48379052369077,27.0573566084788,14.9625935162095,49.6259351620948,4.86284289276808,10.7231920199501,27.431421446384,6.60847880299252
"E01000887",885,55,105,493,232,450,23,23,252,152,435,32,82,241,80,6.21468926553672,11.864406779661,55.7062146892655,26.2146892655367,50.8474576271186,2.59887005649718,2.59887005649718,28.4745762711864,17.1751412429379,49.1525423728814,3.61581920903955,9.26553672316384,27.2316384180791,9.03954802259887
"E01000888",812,67,123,424,198,421,22,36,228,135,391,45,87,196,63,8.2512315270936,15.1477832512315,52.2167487684729,24.384236453202,51.8472906403941,2.70935960591133,4.43349753694581,28.0788177339901,16.6256157635468,48.1527093596059,5.54187192118227,10.7142857142857,24.1379310344828,7.75862068965517
"E01000889",659,71,137,368,83,329,31,49,195,54,330,40,88,173,29,10.7738998482549,20.7890743550835,55.8421851289833,12.5948406676783,49.9241274658574,4.7040971168437,7.43550834597876,29.5902883156297,8.19423368740516,50.0758725341426,6.06980273141123,13.3535660091047,26.2518968133536,4.40060698027314
"E01000890",575,68,147,314,46,304,27,70,170,37,271,41,77,144,9,11.8260869565217,25.5652173913043,54.6086956521739,8,52.8695652173913,4.69565217391304,12.1739130434783,29.5652173913043,6.43478260869565,47.1304347826087,7.1304347826087,13.3913043478261,25.0434782608696,1.56521739130435
"E01000891",540,56,120,303,61,290,20,65,163,42,250,36,55,140,19,10.3703703703704,22.2222222222222,56.1111111111111,11.2962962962963,53.7037037037037,3.7037037037037,12.037037037037,30.1851851851852,7.77777777777778,46.2962962962963,6.66666666666667,10.1851851851852,25.9259259259259,3.51851851851852
"E01000892",943,45,133,521,244,498,12,46,274,166,445,33,87,247,78,4.77200424178155,14.1039236479321,55.2492046659597,25.8748674443266,52.8101802757158,1.27253446447508,4.8780487804878,29.0562036055143,17.6033934252386,47.1898197242842,3.49946977730647,9.22587486744433,26.1930010604454,8.27147401908802
"E01000893",900,94,137,410,259,449,21,57,197,174,451,73,80,213,85,10.4444444444444,15.2222222222222,45.5555555555556,28.7777777777778,49.8888888888889,2.33333333333333,6.33333333333333,21.8888888888889,19.3333333333333,50.1111111111111,8.11111111111111,8.88888888888889,23.6666666666667,9.44444444444444
"E01000894",767,65,106,325,271,426,17,43,166,200,341,48,63,159,71,8.47457627118644,13.8200782268579,42.3728813559322,35.3324641460235,55.5410691003911,2.21642764015645,5.60625814863103,21.6427640156454,26.0756192959583,44.4589308996089,6.25814863102999,8.21382007822686,20.7301173402868,9.25684485006519
"E01000895",893,75,99,426,293,501,17,45,223,216,392,58,54,203,77,8.3986562150056,11.0862262038074,47.7043673012318,32.8107502799552,56.1030235162374,1.9036954087346,5.03919372900336,24.9720044792833,24.1881298992161,43.8969764837626,6.494960806271,6.04703247480403,22.7323628219485,8.62262038073908
