"GeographyCode","KS612EW0001","KS612EW0002","KS612EW0003","KS612EW0004","KS612EW0005","KS612EW0006","KS612EW0007","KS612EW0008","KS612EW0009","KS612EW0010","KS612EW0011","KS612EW0012","KS612EW0013","KS612EW0014","KS612EW0015","KS612EW0016","KS612EW0017","KS612EW0018","KS612EW0019","KS612EW0020","KS612EW0021","KS612EW0022","KS612EW0023","KS612EW0024","KS612EW0025","KS612EW0026","KS612EW0027","KS612EW0028","KS612EW0029","KS612EW0030","KS612EW0031"
"E01000852",681,104,7,97,78,22,30,15,18,22,23,19,4,369,369,0,15.2716593245228,1.02790014684288,14.2437591776799,11.4537444933921,3.23054331864905,4.40528634361234,2.20264317180617,2.6431718061674,3.23054331864905,3.37738619676946,2.79001468428781,0.587371512481645,54.1850220264317,54.1850220264317,0
"E01000853",623,85,10,75,122,38,65,35,67,55,71,48,23,85,85,0,13.6436597110754,1.60513643659711,12.0385232744783,19.5826645264847,6.09951845906902,10.4333868378812,5.61797752808989,10.7544141252006,8.82825040128411,11.3964686998395,7.70465489566613,3.69181380417336,13.6436597110754,13.6436597110754,0
"E01000854",898,100,11,89,136,24,38,26,40,38,23,14,9,473,473,0,11.1358574610245,1.22494432071269,9.9109131403118,15.1447661469933,2.67260579064588,4.23162583518931,2.89532293986637,4.4543429844098,4.23162583518931,2.56124721603563,1.55902004454343,1.0022271714922,52.6726057906459,52.6726057906459,0
"E01000855",813,227,23,204,243,41,62,37,38,29,19,11,8,117,117,0,27.9212792127921,2.8290282902829,25.0922509225092,29.8892988929889,5.04305043050431,7.62607626076261,4.55104551045511,4.6740467404674,3.5670356703567,2.3370233702337,1.3530135301353,0.984009840098401,14.3911439114391,14.3911439114391,0
"E01000856",602,69,10,59,133,37,99,43,54,34,59,46,13,74,74,0,11.4617940199336,1.66112956810631,9.80066445182724,22.093023255814,6.14617940199336,16.4451827242525,7.14285714285714,8.97009966777409,5.64784053156146,9.80066445182724,7.64119601328904,2.15946843853821,12.2923588039867,12.2923588039867,0
"E01000857",548,150,26,124,159,23,80,14,42,24,20,13,7,36,36,0,27.3722627737226,4.74452554744525,22.6277372262774,29.014598540146,4.1970802919708,14.5985401459854,2.55474452554745,7.66423357664234,4.37956204379562,3.64963503649635,2.37226277372263,1.27737226277372,6.56934306569343,6.56934306569343,0
"E01000858",712,114,14,100,156,33,74,44,60,64,66,46,20,101,101,0,16.0112359550562,1.96629213483146,14.0449438202247,21.9101123595506,4.63483146067416,10.3932584269663,6.17977528089888,8.42696629213483,8.98876404494382,9.26966292134832,6.46067415730337,2.80898876404494,14.185393258427,14.185393258427,0
"E01000859",627,218,62,156,231,8,95,4,21,12,16,7,9,22,22,0,34.7687400318979,9.88835725677831,24.8803827751196,36.8421052631579,1.27591706539075,15.1515151515152,0.637958532695375,3.34928229665072,1.91387559808612,2.5518341307815,1.11642743221691,1.43540669856459,3.50877192982456,3.50877192982456,0
"E01000860",497,125,24,101,133,24,61,21,27,44,25,10,15,37,37,0,25.1509054325956,4.82897384305835,20.3219315895372,26.7605633802817,4.82897384305835,12.2736418511066,4.22535211267606,5.43259557344064,8.85311871227364,5.03018108651912,2.01207243460765,3.01810865191147,7.44466800804829,7.44466800804829,0
"E01000861",709,117,7,110,198,33,67,35,41,45,27,18,9,146,146,0,16.5021156558533,0.987306064880113,15.5148095909732,27.9266572637518,4.65444287729196,9.44992947813822,4.93653032440056,5.78279266572638,6.34696755994358,3.80818053596615,2.53878702397743,1.26939351198872,20.5923836389281,20.5923836389281,0
