"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E00004239",111,4,42,34,22,6,3
"E00004240",136,0,49,32,26,20,9
"E00004241",133,4,27,39,26,17,20
"E00004242",105,4,68,19,6,1,7
"E00004243",110,3,28,16,16,29,18
"E00004244",100,0,45,21,29,4,1
"E00004245",163,3,66,59,26,8,1
"E00004246",121,0,39,43,23,10,6
"E00004247",156,0,73,39,18,16,10
"E00004248",207,3,88,61,43,11,1
"E00004249",114,0,58,22,22,9,3
"E00004250",127,0,40,34,23,23,7
"E00004251",95,0,16,26,23,20,10
"E00004252",115,0,51,29,13,15,7
"E00004253",132,1,45,32,44,8,2
"E00004254",119,0,40,42,29,8,0
"E00004255",128,1,37,42,34,12,2
"E00004256",149,0,56,59,21,13,0
"E00004257",113,0,41,37,23,8,4
"E00004258",111,1,41,32,28,5,4
"E00004259",104,2,28,34,17,22,1
"E00004260",136,12,104,19,1,0,0
"E00004261",114,0,41,30,34,8,1
"E00004262",114,1,57,52,4,0,0
"E00004263",121,0,38,19,54,9,1
"E00004264",176,0,82,64,18,8,4
"E00004265",112,3,48,31,16,10,4
"E00004266",156,5,60,51,33,3,4
"E00004268",142,7,72,25,22,13,3
"E00004269",121,4,50,48,15,4,0
"E00004270",189,1,63,78,33,11,3
"E00004271",142,1,57,39,25,13,7
"E00004272",113,0,27,30,17,25,14
"E00004273",159,1,54,35,34,23,12
"E00004274",130,0,44,42,30,8,6
"E00004275",104,1,59,20,13,7,4
"E00004276",122,4,49,41,16,9,3
"E00004277",135,3,50,60,14,3,5
"E00004278",102,1,33,39,15,11,3
"E00004279",134,4,59,40,24,6,1
"E00004280",108,0,43,28,23,9,5
"E00004281",115,0,39,49,17,7,3
"E00004282",149,1,47,55,30,9,7
"E00004283",137,4,66,16,23,24,4
"E00004284",128,1,55,39,24,1,8
"E00004285",144,10,69,32,24,4,5
"E00004286",158,4,76,59,11,3,5
"E00004287",111,0,15,54,36,6,0
"E00004288",166,1,85,45,26,9,0
"E00004289",129,1,71,36,12,4,5
"E00004290",164,5,90,37,25,4,3
"E00004291",138,1,48,27,38,23,1
"E00004292",121,3,25,48,38,7,0
"E00004293",119,0,30,57,28,4,0
"E00004294",119,1,65,28,20,3,2
"E00004295",175,0,42,45,33,28,27
"E00004296",133,1,36,39,19,29,9
"E00004297",154,7,55,61,16,8,7
"E00004298",112,0,22,20,10,18,42
"E00004299",135,0,41,33,27,32,2
"E00004300",111,1,27,32,24,17,10
"E00004301",241,8,118,64,29,8,14
"E00004302",143,3,64,21,32,10,13
"E00004303",113,0,12,19,40,17,25
"E00004304",178,0,60,42,40,23,13
"E00004305",134,0,21,30,25,47,11
"E00004306",157,1,37,55,33,26,5
"E00004307",150,0,21,27,42,37,23
"E00004308",123,0,38,36,29,6,14
"E00004309",115,4,18,27,36,25,5
"E00004310",128,1,16,26,43,38,4
"E00004311",99,0,20,23,17,24,15
"E00004312",150,0,64,50,12,11,13
"E00004313",131,0,32,51,16,30,2
"E00004314",153,1,84,30,22,3,13
"E00004315",154,0,53,43,37,18,3
"E00004316",122,2,62,43,10,1,4
"E00004317",161,1,42,42,39,27,10
"E00004318",126,0,21,40,52,12,1
"E00004319",143,0,59,64,16,2,2
"E00004320",112,0,10,39,40,16,7
"E00004321",114,0,11,54,29,13,7
"E00004322",114,0,10,32,26,13,33
"E00004323",96,0,24,48,15,6,3
"E00004324",122,1,21,43,29,15,13
"E00004325",113,0,43,28,27,8,7
"E00004326",117,1,57,19,24,15,1
"E00004327",140,0,35,47,47,3,8
"E00004328",95,0,6,23,44,18,4
"E00004329",124,1,35,38,32,13,5
"E00004330",146,2,47,65,27,3,2
"E00004331",112,3,37,25,15,15,17
"E00004332",87,0,35,28,16,5,3
"E00004333",133,1,41,54,25,4,8
"E00004334",106,2,48,28,20,5,3
"E00004335",145,0,48,45,32,13,7
"E00004336",175,1,77,60,21,14,2
"E00004337",114,0,37,36,24,11,6
"E00004338",112,0,24,45,27,10,6
"E00004339",112,0,36,53,16,4,3
"E00004340",95,1,24,22,35,12,1
"E00004341",132,1,56,49,20,6,0
"E00004342",94,1,30,37,21,3,2
"E00004343",120,0,45,45,25,2,3
"E00004344",118,2,31,46,26,9,4
"E00004345",121,0,3,32,38,19,29
"E00004346",94,0,7,14,48,13,12
"E00004347",97,0,16,19,24,7,31
"E00004348",131,2,42,34,18,11,24
"E00004349",117,0,12,20,25,24,36
"E00004350",125,0,19,51,33,16,6
"E00004351",131,0,10,40,55,17,9
"E00004352",118,0,8,35,34,14,27
"E00004353",137,0,11,72,50,4,0
"E00004354",108,0,15,29,31,16,17
"E00004355",122,0,29,33,45,8,7
"E00004356",121,2,29,24,31,13,22
"E00004357",118,0,10,31,38,14,25
"E00004358",114,0,17,39,39,7,12
"E00004359",121,0,4,34,36,17,30
"E00004360",118,1,14,47,42,8,6
"E00004361",99,0,22,22,26,16,13
"E00004362",127,2,17,65,37,3,3
"E00004363",153,0,53,5,83,12,0
"E00004364",225,8,93,63,36,15,10
"E00004365",139,1,67,41,15,13,2
"E00004366",165,4,115,20,22,4,0
"E00004367",148,1,38,83,21,4,1
"E00004368",175,11,73,40,20,10,21
"E00004369",123,0,27,45,48,3,0
"E00004370",117,0,63,10,30,12,2
"E00004371",103,4,58,26,6,8,1
"E00004372",109,3,17,11,60,9,9
"E00004373",146,0,54,41,46,5,0
"E00004374",97,8,33,30,19,7,0
"E00004375",119,2,40,44,9,11,13
"E00004376",176,2,64,40,55,14,1
"E00004377",95,5,35,31,14,10,0
"E00004378",137,1,32,53,34,13,4
"E00004379",135,0,22,69,33,5,6
"E00004380",152,0,79,40,19,5,9
"E00004381",117,0,25,41,31,13,7
"E00004382",139,3,50,50,8,16,12
"E00004383",103,3,31,33,8,12,16
"E00004384",101,0,30,47,11,5,8
"E00004385",91,0,24,27,14,17,9
"E00004386",101,0,24,37,12,13,15
"E00004387",89,0,29,29,13,9,9
"E00004388",99,0,33,26,11,13,16
"E00004389",108,0,27,37,17,12,15
"E00004390",113,0,20,39,31,13,10
"E00004391",128,0,37,28,20,24,19
"E00004392",95,0,4,17,61,7,6
"E00004393",113,0,19,58,26,10,0
"E00004394",94,0,31,48,9,2,4
"E00004395",133,1,64,32,14,12,10
"E00004396",131,0,57,43,24,4,3
"E00004397",106,1,31,31,28,8,7
"E00004398",99,1,15,44,31,6,2
"E00004399",131,1,7,58,57,6,2
"E00004400",180,2,137,8,15,18,0
"E00004401",128,0,33,39,23,15,18
"E00004402",127,0,48,36,19,7,17
"E00004403",128,0,14,41,45,17,11
"E00004404",116,0,14,33,38,14,17
"E00004405",128,0,21,40,39,16,12
"E00004406",117,2,27,34,31,16,7
"E00004407",118,0,16,29,35,14,24
"E00004408",106,1,11,28,29,20,17
"E00004409",108,0,24,35,38,9,2
"E00004410",120,0,20,53,28,17,2
"E00004411",114,1,42,38,11,6,16
"E00004412",128,0,46,41,16,13,12
"E00004413",101,0,20,33,30,12,6
"E00004414",123,4,32,41,23,9,14
"E00004415",139,0,41,48,32,15,3
"E00004416",114,2,30,33,20,14,15
"E00004417",125,0,25,34,15,34,17
"E00004418",114,0,33,40,14,13,14
"E00004419",126,2,54,42,22,5,1
"E00004420",112,0,20,34,19,22,17
