Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
3,3,915,,2488000,3 Bed Condo for Sale in Sky Everton,2023,999,Apartment,,1.2758898,103.83815,,,1000,1,.35224652,1.673884954287215,BUKIT MERAH,CENTRAL REGION,2719.1257,City view,.
4,2,1248,,750000,HDB Flat for Sale in 106B Depot Road,2000,99,HDB 4 Rooms ,,1.2806495,103.81075,HDB,,77,0,1.1020842,4.678759201794658,BUKIT MERAH,CENTRAL REGION,600.96155,Not mentioned,.
2,2,1023,,2280000,2 Bed Condo for Sale in The Crest,2018,99,Condo,,1.2929929,103.81985,Condo,,95,0,.48344699,3.960039292248532,BUKIT MERAH,CENTRAL REGION,2228.739,Not mentioned,.
3,2,1851,,3290000,3 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1777.4176,Pool view,.
3,3,1152,,2750000,3 Bed Condo for Sale in Highline Residences,2018,99,Condo,,1.2843674,103.82977,Condo,,95,0,.33565068,2.61778145867564,BUKIT MERAH,CENTRAL REGION,2387.1528,Not mentioned,.
3,2,1313,,620000,HDB Flat for Sale in 50 Hoy Fatt Road,1987,99,HDB 3 Rooms ,Low,1.2878772,103.81144,HDB,Ground,64,0,.63981402,4.694426739587697,BUKIT MERAH,CENTRAL REGION,472.20108,Not mentioned,.
3,2,968,,840000,HDB Flat for Sale in 8 Cantonment Close,2002,99,HDB ,,1.2758011,103.83904,HDB,,79,0,.35248214,1.580729753914113,BUKIT MERAH,CENTRAL REGION,867.76862,Not mentioned,.
3,2,1248,,780000,HDB Flat for Sale in 111B Depot Road,2006,99,HDB ,,1.2811651,103.80847,HDB,,83,0,1.1654695,4.934434265242064,BUKIT MERAH,CENTRAL REGION,625,Not mentioned,.
3,2,1410,,1018000,HDB Flat for Sale in 7 Kim Tian Place,1984,99,HDB 5 Rooms ,,1.2834851,103.82704,HDB,,61,0,.25156096,2.899020323797836,BUKIT MERAH,CENTRAL REGION,721.98584,Not mentioned,.
4,2,1141,,540000,HDB Flat for Sale in 37 Jalan Rumah Tinggi,1969,99,HDB Executive ,,1.2892293,103.8092,HDB,,46,0,.64835167,4.969776853874396,BUKIT MERAH,CENTRAL REGION,473.26907,Not mentioned,North
3,2,1237,,650000,HDB Flat for Sale in 52 Telok Blangah Drive,1978,99,HDB ,,1.27385,103.81125,HDB,,55,0,.37787631,4.662475272193918,BUKIT MERAH,CENTRAL REGION,525.46484,Not mentioned,.
3,2,1421,,2898000,3 Bed Condo for Sale in Corals At Keppel Bay,2016,99,Condo,,1.2651784,103.81636,Condo,,93,0,.46191493,4.347955963000712,BUKIT MERAH,CENTRAL REGION,2039.4088,Not mentioned,.
3,2,904,,530000,HDB Flat for Sale in 50 Hoy Fatt Road,1987,99,HDB 4 Rooms ,,1.2878772,103.81144,HDB,,64,0,.63981402,4.694426739587697,BUKIT MERAH,CENTRAL REGION,586.2832,Not mentioned,.
2,2,699,,345000,HDB Flat for Sale in 128 Bukit Merah View,1973,99,HDB ,,1.2826468,103.82333,HDB,,50,0,.53345042,3.296837842186386,BUKIT MERAH,CENTRAL REGION,493.56223,Not mentioned,.
3,4,1345,,3607000,3 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2681.7844,Greenery view,.
3,2,947,,786000,HDB Flat for Sale in 127D Kim Tian Road,2013,99,HDB ,,1.2811198,103.82994,HDB,,90,0,.60923862,2.548258836880462,BUKIT MERAH,CENTRAL REGION,829.98944,Not mentioned,.
2,1,657,,1506000,2 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,2292.2375,Not mentioned,.
2,2,1151,,1880000,2 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1633.3623,Not mentioned,.
